# /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/CVs/cumulativeHardEnrichment.py --model /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/POPC/1/323K/1POPC.psf --traj /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/POPC/1/323K/fixed_1POPC_100.dcd --lipid_list /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/POPC/lipidList_NO_CHOL.dat --r /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/POPC/323K/avgRcutoff_NO_CHOL.dat
# cumEnrichmentAVG	DPPC-DPPC	POPC-POPC
2.349444783575043 	 1.194222649006662	1.1552221345683813
2.2994837883550723 	 1.1555959771417803	1.143887811213292
2.3374864691394097 	 1.1645840059769301	1.1729024631624796
2.340093726598476 	 1.1641195742247739	1.1759741523737024
2.3621767738435047 	 1.1608070711867322	1.2013697026567725
2.3057611231139523 	 1.158732747148636	1.1470283759653164
2.297626467454921 	 1.16231487111925	1.1353115963356712
2.2625646177635033 	 1.1442179693783205	1.1183466483851827
2.25833113697365 	 1.1163208722579159	1.142010264715734
2.2748249909930505 	 1.12745061377399	1.1473743772190605
2.346271300358546 	 1.1832131166032487	1.1630581837552973
2.300401734202188 	 1.1519622773110498	1.1484394568911382
2.2456717373762034 	 1.1375712475422761	1.108100489833927
2.236924744971028 	 1.1166898489158066	1.1202348960552218
2.2569876509949234 	 1.1371790011682992	1.1198086498266244
2.307439931377921 	 1.1636607864779682	1.1437791448999526
2.289899708319806 	 1.146119363714714	1.143780344605092
2.3382506924231743 	 1.1773586232975841	1.16089206912559
2.3074902856332216 	 1.1489972204181886	1.158493065215033
2.2898243733161516 	 1.155448188375788	1.1343761849403635
2.3026675126684983 	 1.1525097867288705	1.150157725939628
2.262235000260695 	 1.1381796281228367	1.1240553721378586
2.304332054439462 	 1.1416917906086423	1.1626402638308195
2.2945307890674727 	 1.1490116127902563	1.1455191762772161
2.316383705839817 	 1.1863260679705945	1.1300576378692224
2.3406909740616024 	 1.1744851628313142	1.166205811230288
2.314303926507396 	 1.157151963253698	1.157151963253698
2.2994486855356415 	 1.169668540550528	1.1297801449851137
2.3108144946698275 	 1.1577580250507529	1.1530564696190744
2.3557120099835984 	 1.1895295035546516	1.166182506428947
2.2858077321705568 	 1.1411554154997323	1.1446523166708245
2.30911706338887 	 1.1574785077482903	1.1516385556405793
2.2666967411220402 	 1.1509469477436447	1.1157497933783955
2.2819568481387607 	 1.1310161060369306	1.15094074210183
2.256686829666874 	 1.127750486081554	1.1289363435853201
2.356869513094135 	 1.1819246916602375	1.1749448214338973
2.2678183524452757 	 1.1526514766560698	1.115166875789206
2.30233074712588 	 1.1575769275422776	1.144753819583602
2.3071787318519172 	 1.1600536975740408	1.1471250342778765
2.3036069339506544 	 1.1547372506405726	1.1488696833100818
2.237476898740284 	 1.1134806707569143	1.12399622798337
2.252272056496656 	 1.145542027690727	1.1067300288059285
2.2953049757407076 	 1.152898233117095	1.1424067426236126
2.2921257184174553 	 1.1518863493469835	1.1402393690704717
2.3031432181487617 	 1.1427269730599847	1.160416245088777
2.2908408529079365 	 1.1322684173819497	1.1585724355259865
2.2702332192601737 	 1.1333549180476292	1.1368783012125443
2.265657609907174 	 1.1422986382238365	1.1233589716833376
2.3418468661493734 	 1.163904910998315	1.1779419551510584
2.2678998571240614 	 1.1315924443030658	1.1363074128209953
2.2928238101002756 	 1.1493379180798726	1.143485892020403
2.3105144993865676 	 1.166484813756799	1.1440296856297687
2.304658831541802 	 1.1692325786729527	1.1354262528688492
2.2280215223375324 	 1.1245645473272072	1.1034569750103254
2.2393833344894736 	 1.1167651338750433	1.1226182006144305
2.301616749326362 	 1.16155243625236	1.1400643130740018
2.3608137843452983 	 1.1998933491219725	1.1609204352233258
2.2531208081452885 	 1.1372330815849114	1.115887726560377
2.3292107838122345 	 1.1825938159963463	1.1466169678158882
2.2488270554544423 	 1.1226446548466853	1.1261824006077568
2.2698963837989723 	 1.1460693964616782	1.1238269873372941
2.348913845007567 	 1.180887497987876	1.168026347019691
2.3201986254840445 	 1.1660853773072546	1.15411324817679
2.287960294988525 	 1.129929214259942	1.158031080728583
2.2853058179512686 	 1.1508565708862286	1.13444924706504
2.3008200430321395 	 1.1656861505045364	1.1351338925276029
2.297417008815157 	 1.1610982725598944	1.1363187362552623
2.2530029770491593 	 1.1247256059888078	1.1282773710603515
2.3301358852065874 	 1.1644701653110394	1.1656657198955478
