# /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/CVs/DBSCANanalysisSpecies.py --model /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/DAPC/1/298K/1DAPC.psf --traj /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/DAPC/1/298K/fixed_1DAPC_100.dcd --lipid_list /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/DAPC/lipidList.dat --r /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/DAPC/298K/avgRcutoff.dat
# Individual Species Contribution :	 DPPC-DPPC	DAPC-DAPC	CHOL-CHOL
# Cluster-count	Core to Total Lipids	Cluster lipids to        Total Lipids	Outliers To Total Lipids	Mean Core lipids per cluster        	STD Core lipids per cluster	 Mean lipids per cluster	 STD lipids         per cluster	 Silhouette Coefficent
18	13	0 0.06833333333333333	0.175	0.0 0.2866666666666667	0.5472222222222223	0.0 0.7133333333333334	0.4527777777777778	1.0 2.2777777777777777	4.846153846153846	0.0 1.3252067157640626	6.803236264355299	0.0 9.555555555555555	15.153846153846153	0.0 2.793290019994785	12.642091805041625	0.0 0.5240589532633578	0.42255654572789225	-2
9	4	0 0.37333333333333335	0.6333333333333333	0.0 0.8283333333333334	0.9166666666666666	0.0 0.17166666666666666	0.08333333333333333	1.0 24.88888888888889	57.0	0.0 34.23592799139668	43.54882317583335	0.0 55.22222222222222	82.5	0.0 71.25818125002719	56.06469477309227	0.0 0.02927415329058756	0.35747304208899733	-2
6	3	0 0.45666666666666667	0.6583333333333333	0.0 0.915	0.9555555555555556	0.0 0.085	0.044444444444444446	1.0 45.666666666666664	79.0	0.0 61.85377020755396	48.80573736764972	0.0 91.5	114.66666666666667	0.0 118.05330716813204	68.43163660828878	0.0 0.03468484620056367	0.30447822971136884	-2
2	2	1 0.49833333333333335	0.7472222222222222	0.004166666666666667 0.905	0.975	0.029166666666666667 0.095	0.025	0.9708333333333333 149.5	134.5	0.5 2.5	1.5	0.5 271.5	175.5	3.5 3.5	2.5	3.5 2	2	-2
4	2	0 0.49333333333333335	0.7416666666666667	0.0 0.9283333333333333	0.9805555555555555	0.0 0.07166666666666667	0.019444444444444445	1.0 74.0	133.5	0.0 70.60453243241541	0.5	0.0 139.25	176.5	0.0 128.73495057675675	1.5	0.0 -0.09655607207268203	2	-2
5	2	0 0.5016666666666667	0.7777777777777778	0.0 0.9083333333333333	0.9916666666666667	0.0 0.09166666666666666	0.008333333333333333	1.0 60.2	140.0	0.0 69.96399073809326	4.0	0.0 109.0	178.5	0.0 118.62377502001866	1.5	0.0 0.06469071654065511	2	-2
3	2	0 0.4683333333333333	0.725	0.0 0.895	0.9805555555555555	0.0 0.105	0.019444444444444445	1.0 93.66666666666667	130.5	0.0 64.24086619036895	3.5	0.0 179.0	176.5	0.0 120.2525121012724	1.5	0.0 0.13907085954512743	2	-2
4	2	3 0.515	0.6944444444444444	0.0125 0.9416666666666667	0.9666666666666667	0.0875 0.058333333333333334	0.03333333333333333	0.9125 77.25	125.0	1.0 74.76421269564737	0.0	0.0 141.25	174.0	7.0 133.28798708060677	1.0	0.0 -0.048076371267565136	2	0.49546537725588813
2	2	1 0.54	0.7555555555555555	0.008333333333333333 0.9433333333333334	0.9833333333333333	0.0375 0.056666666666666664	0.016666666666666666	0.9625 162.0	136.0	1.0 0.0	1.0	1.0 283.0	177.0	4.5 2.0	1.0	4.5 2	2	-2
4	2	1 0.5066666666666667	0.7611111111111111	0.004166666666666667 0.9	0.9944444444444445	0.029166666666666667 0.1	0.005555555555555556	0.9708333333333333 76.0	137.0	0.5 56.0223169817172	2.0	0.5 135.0	179.0	3.5 97.20339500243806	0.0	3.5 0.1590772189636349	2	-2
3	2	0 0.495	0.7388888888888889	0.0 0.9166666666666666	0.975	0.0 0.08333333333333333	0.025	1.0 99.0	133.0	0.0 66.51315659326356	2.0	0.0 183.33333333333334	175.5	0.0 119.87308102971056	1.5	0.0 0.06526079615866581	2	-2
2	2	0 0.505	0.7805555555555556	0.0 0.9133333333333333	0.9944444444444445	0.0 0.08666666666666667	0.005555555555555556	1.0 151.5	140.5	0.0 8.5	0.5	0.0 274.0	179.0	0.0 11.0	0.0	0.0 2	2	-2
5	2	1 0.515	0.7777777777777778	0.004166666666666667 0.925	0.9833333333333333	0.029166666666666667 0.075	0.016666666666666666	0.9708333333333333 61.8	140.0	0.5 72.67296608781011	5.0	0.5 111.0	177.0	3.5 124.43311456360803	2.0	3.5 -0.017632596109487652	2	-2
6	2	1 0.48	0.7638888888888888	0.004166666666666667 0.9183333333333333	0.9833333333333333	0.029166666666666667 0.08166666666666667	0.016666666666666666	0.9708333333333333 48.0	137.5	0.5 62.93647591023825	3.5	0.5 91.83333333333333	177.0	3.5 114.019613322543	2.0	3.5 0.04833255949199383	2	-2
3	2	1 0.5083333333333333	0.7444444444444445	0.004166666666666667 0.9166666666666666	0.9833333333333333	0.029166666666666667 0.08333333333333333	0.016666666666666666	0.9708333333333333 101.66666666666667	134.0	0.5 66.51482708556208	5.0	0.5 183.33333333333334	177.0	3.5 116.23634925826296	3.0	3.5 0.12056159240154592	2	-2
