#mixed state population	Standard Error
7.499999999999997780e-01 1.063730398609717687e-16
7.499999999999997780e-01 4.550560269027492234e-17
7.500000000000000000e-01 6.040266291023252643e-17
7.493014472697537842e-01 4.344890107676427794e-04
7.499925835158874898e-01 6.624394309455637712e-06
7.500000000000000000e-01 7.186496878778151039e-17
7.500000000000002220e-01 2.029006616332769778e-16
7.500000000000005551e-01 1.872298226131689449e-16
7.500000000000005551e-01 1.708084527812758907e-16
7.500000000000003331e-01 1.336424480929224418e-16
7.500000000000006661e-01 7.322423755269879114e-17
7.500000000000003331e-01 1.874929707720034391e-16
7.500000000000005551e-01 1.091186019346822741e-16
7.500000000000006661e-01 1.175474023235383299e-16
7.500000000000005551e-01 1.797738724363841645e-16
7.500000000000004441e-01 1.750494666863589048e-16
7.499443833468768528e-01 4.292807065912790815e-05
7.499799478841484568e-01 4.504755458712489010e-06
7.497616445905042060e-01 1.075624025228394528e-04
7.499507566707268591e-01 2.213801982430888536e-05
7.489719929863921655e-01 1.673477742948722058e-04
7.491126106852807887e-01 1.858517386367216175e-04
7.489211411370516602e-01 4.496599124471864235e-04
7.497192962915379955e-01 5.770544154153084702e-05
7.494534598821488425e-01 1.239602443919009755e-04
9.721083730770319065e-01 2.772973390660881114e-04
8.104907094415946256e-01 3.221793342505874604e-04
9.174817102865903129e-01 6.860626302367790839e-04
8.447811891715142352e-01 5.281835107087483978e-04
8.925155810603632167e-01 2.734637837447779466e-04
9.014358252985786857e-01 7.336499430136324143e-04
8.287173718877903772e-01 9.779066744319904643e-04
9.546353602634205515e-01 1.102577596180816504e-03
9.421150613687381270e-01 8.532181679217237151e-04
9.494284589609334191e-01 5.104012667031467172e-04
9.401020585144188590e-01 3.128032346738013943e-04
9.136496796467314940e-01 2.667681055250558883e-04
9.356226377931639027e-01 1.347701933793406020e-04
9.300662738712992539e-01 1.304689205154704598e-16
9.300662738712992539e-01 1.243251517661418306e-16
9.300636778415606321e-01 2.467423502229466519e-06
9.294245918507162418e-01 1.958121955626447878e-04
9.289067736047892376e-01 3.838732003510601939e-04
9.120247621081650768e-01 1.519293118890379811e-04
9.090427729460126560e-01 5.039950800093652645e-04
8.810758784557597423e-01 2.997623504823564286e-04
8.738771674182105320e-01 5.326096144580843173e-04
9.101928443694273785e-01 4.598239488929158937e-04
9.161624588290445681e-01 1.337244008889721444e-03
8.663330199406505949e-01 1.512548474215889491e-03
