#mixed state population	Standard Error
6.669941603535352037e-01 7.393639782115614054e-03
7.036528958760576158e-01 4.277143887783627606e-03
7.273183934218552249e-01 2.550304680995070430e-03
7.269738773819561795e-01 3.908846420039317239e-03
6.993594024933005304e-01 5.551813427680162179e-03
7.312615694107925668e-01 2.690821508349407198e-03
7.322286688096486529e-01 3.330731485949578290e-03
7.153427704521798658e-01 4.493678303595519466e-03
7.016030787516743805e-01 7.552919357781391271e-03
6.764194309370366032e-01 8.611782489849484010e-03
6.722235901122055601e-01 8.694001720555601109e-03
7.173960592971150296e-01 2.475766413331475721e-03
6.934010515881112724e-01 4.115945828453757178e-03
6.542033441742070021e-01 5.194742600341393374e-03
6.401548498691710387e-01 5.892735005047599131e-03
6.646006718399034563e-01 5.686257708480958045e-03
7.172100348556813554e-01 7.559762204462834936e-03
7.153024312787796823e-01 4.045974014112673628e-03
6.823306749995897702e-01 3.753966649493531947e-03
6.791686572583179871e-01 4.072112287740852973e-03
6.786880804776479481e-01 4.046621673951101769e-03
6.695398937295190533e-01 3.450080381693501792e-03
6.332574475785255341e-01 3.685629796204046432e-03
5.897610971318767437e-01 5.632437193688613446e-03
6.456982402765685247e-01 6.706924998547787384e-03
6.273998328306619188e-01 5.070825213943217467e-03
5.957224341401090584e-01 3.625622140611994490e-03
6.290281480327248875e-01 6.128452668946346611e-03
2.689768165048888604e-01 1.648805692924486385e-03
2.471878562793772827e-01 3.694968091557771644e-03
2.881196486904505916e-01 2.805630435661845938e-03
2.709394187946377874e-01 3.232084340482282644e-03
2.963442489187493867e-01 1.507446282589121767e-03
2.779388749637533573e-01 1.274359938013508312e-03
3.175296244903508258e-01 1.606452233849970821e-03
2.537693773041557743e-01 1.937981862326267112e-03
3.181129393725760091e-01 3.771049119321277093e-03
2.360008959269479512e-01 1.711221073917637168e-03
3.585751196587770862e-01 1.836803330110142046e-03
4.683215554428443173e-01 2.334855207416300111e-03
4.154952948129455592e-01 2.972366971349354840e-03
5.016069150259451215e-01 4.468801325340136452e-03
4.145337089389569130e-01 1.947647270128892178e-03
3.355345652503791132e-01 2.432282605327126552e-03
3.919523804440013248e-01 1.820476884406551374e-03
3.714613305697532786e-01 3.062325297972067015e-03
2.791510998493665352e-01 1.326989273019205107e-03
4.685148854966484921e-01 5.406544259210289624e-03
4.767232774614586499e-01 4.226846860662662915e-03
3.621266021810577440e-01 2.059691435384956165e-03
