# /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/CVs/DBSCANanalysisSpecies.py --model /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/DAPC/1/423K/1DAPC.psf --traj /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/DAPC/1/423K/fixed_1DAPC_100.dcd --lipid_list /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/DAPC/lipidList_NO_CHOL.dat --r /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/DAPC/423K/avgRcutoff_NO_CHOL.dat
# Individual Species Contribution :	 DPPC-DPPC	DAPC-DAPC
# Cluster-count	Core to Total Lipids	Cluster lipids to        Total Lipids	Outliers To Total Lipids	Mean Core lipids per cluster        	STD Core lipids per cluster	 Mean lipids per cluster	 STD lipids         per cluster	 Silhouette Coefficent
5	5 0.5866666666666667	0.5666666666666667 0.89	0.825 0.11	0.175 70.4	40.8 70.69257386741553	39.83666652720832 106.8	59.4 102.16535616342752	52.541792889089734 0.21756296084042226	0.22594537129890135
11	7 0.45666666666666667	0.4111111111111111 0.8233333333333334	0.7916666666666666 0.17666666666666667	0.20833333333333334 24.90909090909091	21.142857142857142 40.130366070990874	22.022252197192156 44.90909090909091	40.714285714285715 60.27128751879749	34.254152139200734 0.07495389639683529	0.25040564672904436
14	10 0.4216666666666667	0.375 0.79	0.75 0.21	0.25 18.071428571428573	13.5 24.03112352677635	11.672617529928752 33.857142857142854	27.0 38.44264213986699	18.379336223052235 0.1762096635468864	0.2964331872854523
7	7 0.4866666666666667	0.42777777777777776 0.8116666666666666	0.7583333333333333 0.18833333333333332	0.24166666666666667 41.714285714285715	22.0 32.665903087007955	15.482709249814315 69.57142857142857	39.0 52.4509489029162	23.706539182259394 0.13911366620775595	0.3427292354273377
18	13 0.39666666666666667	0.3055555555555556 0.8	0.6666666666666666 0.2	0.3333333333333333 13.222222222222221	8.461538461538462 13.091793678804867	10.073692964391382 26.666666666666668	18.46153846153846 21.776643961414766	14.329181546305506 0.19646274553389045	0.2959771868612759
9	4 0.43833333333333335	0.4777777777777778 0.8	0.7638888888888888 0.2	0.2361111111111111 29.22222222222222	43.0 31.09761612077462	17.363755354185336 53.333333333333336	68.75 52.125915925872334	23.327826731180938 -0.02200451663138892	0.35878047365729665
10	9 0.38666666666666666	0.3416666666666667 0.7566666666666667	0.6555555555555556 0.24333333333333335	0.34444444444444444 23.2	13.666666666666666 36.082682827084795	10.57250101810247 45.4	26.22222222222222 61.23267101801129	16.67185104551833 0.0861021119317808	0.3694477311640485
12	7 0.41	0.4111111111111111 0.8066666666666666	0.7444444444444445 0.19333333333333333	0.25555555555555554 20.5	21.142857142857142 23.339880033967614	22.949812146312233 40.333333333333336	38.285714285714285 42.28737662970147	35.41877744810466 0.09925386074857115	0.13223386334840642
12	8 0.40166666666666667	0.39166666666666666 0.7716666666666666	0.7027777777777777 0.22833333333333333	0.2972222222222222 20.083333333333332	17.625 27.387522503667416	25.307792772187778 38.583333333333336	31.625 48.59090850034488	36.46895083492257 -0.022612207605545057	0.2125994122518139
11	6 0.44	0.41944444444444445 0.8216666666666667	0.6833333333333333 0.17833333333333334	0.31666666666666665 24.0	25.166666666666668 37.26319168489804	30.317303456753688 44.81818181818182	41.0 60.43601903413406	44.747439405326126 0.09516558256703152	0.2930642528164485
10	8 0.4816666666666667	0.45 0.8	0.7722222222222223 0.2	0.22777777777777777 28.9	20.25 46.58851789872693	26.512968524855907 48.0	34.75 69.03042807342281	36.95182674780774 0.07583215141815054	0.1608911373975841
12	7 0.4633333333333333	0.425 0.8366666666666667	0.7333333333333333 0.16333333333333333	0.26666666666666666 23.166666666666668	21.857142857142858 39.127640131015085	26.291924732176778 41.833333333333336	37.714285714285715 58.36641918851018	35.75997078024647 -0.1000052914138335	0.2840630147538098
11	8 0.46166666666666667	0.4388888888888889 0.845	0.7472222222222222 0.155	0.25277777777777777 25.181818181818183	19.75 37.29201274905972	21.41699091842736 46.09090909090909	33.625 60.16863354614194	29.14591523695902 0.059988966092634745	0.23369143261377973
11	8 0.4216666666666667	0.3972222222222222 0.76	0.6833333333333333 0.24	0.31666666666666665 23.0	17.875 36.34431304769827	21.641612116475983 41.45454545454545	30.75 56.98542658412944	30.02394877427018 -0.03575219602048584	0.16802202365449836
8	7 0.485	0.4666666666666667 0.8316666666666667	0.7333333333333333 0.16833333333333333	0.26666666666666666 36.375	24.0 58.753590315826656	30.41616111778173 62.375	37.714285714285715 90.86244755122988	39.640218702417755 -0.03564457571375636	0.2959195667813121
7	5 0.49	0.45 0.8216666666666667	0.75 0.17833333333333334	0.25 42.0	32.4 47.50037593836194	36.340610891948415 70.42857142857143	54.0 71.25378615074659	53.97406784743948 0.10669294825689052	0.1213373544288545
10	5 0.4866666666666667	0.4888888888888889 0.8633333333333333	0.7416666666666667 0.13666666666666666	0.25833333333333336 29.2	35.2 39.42283602177804	41.266935917269166 51.8	53.4 63.70525880961476	55.93067137090346 0.007410756519980531	0.21071228005750686
13	8 0.4483333333333333	0.44722222222222224 0.815	0.7722222222222223 0.185	0.22777777777777777 20.692307692307693	20.125 36.860202878077295	24.745896124408183 37.61538461538461	34.75 54.08616837480222	35.04907274094423 0.04938057273085912	0.17585316268935453
