# evolution.py --suffix CEI --temperature 323 --plotscale energy --dat_file CumHardEnrich/DPPC_DIPC_CHOL/323K/1/pdist.h5
# # energy
inf 1.702208951899846223e+00 1.669285480165775715e+00 7.219498261143755258e-01 6.932582574661977359e-01 7.636195388226374448e-01 7.794689113842246941e-01 7.875428162753305150e-01 9.277316643732913537e-01 1.232451100666106081e+00 2.053017307707281525e+00 2.024485189308474098e+00 1.669285480165775715e+00 2.147117236290621900e+00 1.719326418997453088e+00 2.497925592098057201e+00 2.702330525340853828e+00 2.702330525340853828e+00 inf 3.331892431493618467e+00 2.886984147102842346e+00 inf 3.331892431493618467e+00 2.181821200083279066e+00 2.181821200083279066e+00 2.343131632073757409e+00 2.114193764556551169e+00 1.945790807632766795e+00 1.430791103977204104e+00 9.914401441333956511e-01 7.957195762224277269e-01 1.292004631301727713e+00 1.274418134606676967e+00 1.409030817536988112e+00 1.853939101927763788e+00 2.442075862712066670e+00 3.331892431493618467e+00 inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf 2.788039916464532642e+00 2.442075862712066670e+00 1.875699388367980003e+00 1.792762645078494144e+00 1.653436107604188576e+00 1.812513956559302919e+00 2.082876969444969806e+00 1.637968685054193907e+00 1.565772782017154974e+00 1.377714022425406304e+00 1.476658253063716009e+00 1.476658253063716009e+00 1.476658253063716009e+00 1.812513956559302919e+00 2.559102048947326846e+00 2.024485189308474098e+00 1.608109023316506514e+00 1.702208951899846445e+00 2.218509298301447163e+00 2.788039916464532642e+00 inf inf inf inf inf inf
3.171771744006037785e+00 1.703054069830416628e+00 1.109359984499146634e+00 8.321173025851387184e-01 5.655074694700615856e-01 4.305530498216870727e-01 5.962711693509172850e-01 7.250136361107579752e-01 1.210356877505757822e+00 1.982188533995477453e+00 2.398981361459747497e+00 3.141912082268350392e+00 3.141912082268350392e+00 inf inf inf inf inf inf inf inf inf inf 3.715624259035123611e+00 2.069267972545485001e+00 2.380899405862796581e+00 1.792762645078493700e+00 1.600135417976434438e+00 1.262813929474034813e+00 8.923364632457152501e-01 8.665552075240213759e-01 1.098387632260225510e+00 1.632641957590914350e+00 1.897078178823389916e+00 1.860390080605221597e+00 2.305298364995997495e+00 3.270715974644347934e+00 3.270715974644347934e+00 inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf 3.530970637273135537e+00 3.530970637273135537e+00 1.751337499710032830e+00 1.675736458843233301e+00 1.561688778999267502e+00 1.909788831313753876e+00 2.825807690253572257e+00 1.386433084648485137e+00 1.546932566467235981e+00 1.731586188229224055e+00 1.442799407201629247e+00 1.430514496786738921e+00 1.375171971674901350e+00 1.684713765678744091e+00 1.814522931518709914e+00 2.103058246538958453e+00 2.094442453075742172e+00 1.929339590699339579e+00 2.186294158780745178e+00 2.341986463214165592e+00 3.219339203955823514e+00 4.865695490445462568e+00 inf inf inf inf
inf 2.248458863670564689e+00 1.185653065298796438e+00 9.302636872841254512e-01 2.721317463799107772e-01 4.951980247359429321e-01 5.863960980264768530e-01 7.048938943267839541e-01 1.731586188229224055e+00 1.991840850858011436e+00 2.436749135248787113e+00 inf inf inf inf inf inf inf inf inf inf inf 2.911517081377251071e+00 3.127487498250820952e+00 1.884614350783496706e+00 1.984588039502211076e+00 1.531320439140484657e+00 1.469173987516759983e+00 1.030760196733497835e+00 1.085226804504171083e+00 1.126809870152808868e+00 1.186345852171816651e+00 1.684713765678744313e+00 1.803550579279789012e+00 2.305298364995997495e+00 1.977416266840481551e+00 2.466608796986475394e+00 2.825807690253572257e+00 inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf 2.641154068491584184e+00 2.436749135248787113e+00 1.860390080605221819e+00 1.860390080605221819e+00 2.053017307707281081e+00 1.935991121472020904e+00 1.751337499710032830e+00 1.666882980883488630e+00 1.641032495050576356e+00 1.277025586975914395e+00 1.298951068881085913e+00 1.455324038251612828e+00 1.641032495050576356e+00 2.176494472619999954e+00 1.491082837081245449e+00 1.870875888665123110e+00 1.937664830309655528e+00 2.107409903719378530e+00 2.357914500764580978e+00 2.501949849640906276e+00 5.050349112207451086e+00 5.755512059227013921e+00 inf inf inf inf
3.572395782641596185e+00 3.127487498250820064e+00 1.249483481561886933e+00 1.093870604642195543e+00 7.190450834766182187e-01 6.789077243049633781e-01 2.451791732892938114e-01 5.422207447943019343e-01 1.084043639237282086e+00 1.561688778999267058e+00 2.726863459615262109e+00 inf inf inf inf inf inf inf inf inf inf inf 3.059860062724092611e+00 3.059860062724092611e+00 2.063805241908576171e+00 1.876437590836398606e+00 1.818222463233161168e+00 1.362278944705247241e+00 1.236799073095911083e+00 1.136998448767462255e+00 8.450195857607716299e-01 1.413503776234453335e+00 1.427479659097365960e+00 1.717161604211693726e+00 1.909788831313753432e+00 2.422324551231256784e+00 2.380899405862796137e+00 3.270715974644347490e+00 inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf 3.270715974644347490e+00 1.852514313383705202e+00 1.991840850858010770e+00 1.821943441628054439e+00 1.576792228204923152e+00 1.641032495050575468e+00 1.581906733158238376e+00 1.652393269071722681e+00 1.576792228204923374e+00 1.023189647592253060e+00 2.317296227878917314e+00 1.503743345672865495e+00 1.726741886174254503e+00 1.814522931518709248e+00 2.156743161139190512e+00 1.868238333542679541e+00 1.963744931575917008e+00 1.929753298077851342e+00 3.298033585631531039e+00 3.501567008929792113e+00 5.755512059227013921e+00 inf inf inf inf inf
inf 2.446857485505667285e+00 1.843526814381665213e+00 1.104078988714526588e+00 7.009770737786940042e-01 3.752340248910013831e-01 4.978158109350258043e-01 6.023641473282120851e-01 6.896077364503107043e-01 1.756371776305573951e+00 inf inf inf inf inf inf inf inf inf inf inf inf inf inf 3.715624259035124943e+00 2.202966965676613320e+00 2.252095513486799927e+00 1.311463491914798052e+00 1.255052444630733621e+00 1.007261610041839228e+00 9.274790105713521804e-01 1.380777832421789864e+00 1.335493404188320410e+00 1.473496340386195813e+00 1.899179218262527558e+00 1.858412060625230788e+00 2.358990556298311780e+00 3.010461312015561663e+00 4.160532543425900620e+00 inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf 3.270715974644349266e+00 inf 2.825807690253573590e+00 1.963308732459204897e+00 2.196245784100809395e+00 1.782153032027267381e+00 2.063805241908577504e+00 1.799934417740223447e+00 1.918404624776971490e+00 1.996721992065603857e+00 1.146048082717315619e+00 1.461679208737903357e+00 1.054587084324086765e+00 1.113059516213599442e+00 2.354697115704530663e+00 3.171771744006039118e+00 2.303814278842259533e+00 1.840638769124413709e+00 1.789428263681098752e+00 2.108502443515994251e+00 3.173206084213064049e+00 3.640023218168325414e+00 4.560265718663014667e+00 4.377171920209465661e+00 7.090236912399341840e+00 inf inf inf inf
5.796937204595474569e+00 4.907120635813923215e+00 2.379646982098528873e+00 2.216462484614566630e+00 1.248158382578499648e+00 5.287214840484418810e-01 2.786238012071697301e-01 1.936432245637561556e-01 8.577709671432806049e-01 1.604774641919109124e+00 2.105230387277036819e+00 inf inf inf inf inf inf inf inf inf inf inf inf inf 2.085940779441351367e+00 2.085940779441351367e+00 1.464880546922977977e+00 1.114297447119097395e+00 2.132642606116928796e+00 1.204625884294190374e+00 1.473496340386194037e+00 1.123030465854402804e+00 1.216139501982101079e+00 1.282638450761086624e+00 1.366853924697617906e+00 2.723054148876522973e+00 3.270715974644347934e+00 2.715502685594114674e+00 3.356425365768026303e+00 4.605440827816674521e+00 inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf 4.605440827816674521e+00 3.270715974644347934e+00 2.489951986757985125e+00 2.160486985271175442e+00 2.117679994427041468e+00 1.983387165483935233e+00 2.091596031668047750e+00 1.378436104266055784e+00 inf 1.725135209551765358e+00 1.954073077068971154e+00 1.248910130049407874e+00 1.766560354920226228e+00 1.092971001165516487e+00 1.474581491913535602e+00 1.497804018657048264e+00 1.972089539377201994e+00 2.312770707541720316e+00 2.036312356835868531e+00 1.972476455972667742e+00 2.021521445227948188e+00 2.929803746583827362e+00 3.441316570706296929e+00 3.685821583755992226e+00 6.107232806055939101e+00 7.980053481180892305e+00 inf inf inf inf
inf 4.652237276291722345e+00 3.520402128699879896e+00 1.659150270116580561e+00 1.637331730926260720e+00 1.779991907771701021e+00 3.215832843721233014e-01 3.981923391268095691e-01 3.113363767535524129e-01 6.668578258494068933e-01 1.665601991483608435e+00 inf inf inf inf inf inf inf inf inf inf inf inf 2.715502685594116006e+00 1.887707691592405146e+00 1.456378873288588283e+00 1.414492024275004090e+00 1.353225663794304756e+00 2.011592162338820433e+00 2.004940631566138887e+00 1.430176583130321255e+00 8.813244798030559490e-01 7.742941590549663466e-01 1.756231400804622034e+00 2.402429178033866020e+00 2.618169163393369026e+00 3.312141120012809026e+00 4.160532543425899732e+00 4.160532543425899732e+00 4.605440827816675409e+00 inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf 5.495257396598226762e+00 3.270715974644347934e+00 3.023974800102199989e+00 1.974747377442090723e+00 2.303320345016005355e+00 2.281477773212489790e+00 1.951784778832363010e+00 1.935712593814996385e+00 2.570774519323166807e+00 1.901287157679363737e+00 1.425464376513924769e+00 1.421452694857900045e+00 1.872387943488142081e+00 1.147351366364142811e+00 1.596185454892322442e+00 1.494434630470871772e+00 1.662501619328602631e+00 1.977973685004512649e+00 1.676572767724465507e+00 2.019674001750086045e+00 2.015994990801249109e+00 2.640292764705015394e+00 2.978269550942733268e+00 3.399380588084019550e+00 3.290232270448323337e+00 3.851477857750341904e+00 inf 4.888667336859470858e+00 inf inf inf
inf 4.793446242968289361e+00 4.248394648615071212e+00 4.143217162669637688e+00 4.552522959207660591e+00 1.335544645188754487e+00 1.073880070957266009e+00 7.287431614544181979e-01 1.738173359894296111e-01 2.050312051806275626e-01 1.040803793701490676e+00 1.750241495338653364e+00 inf 2.576227647857114000e+00 inf inf inf inf inf inf 3.865573917004454518e+00 3.865573917004454518e+00 2.975757348222903165e+00 2.616558454955805857e+00 2.137963025956174601e+00 1.640329079116570998e+00 1.459288639957666112e+00 1.440478005121410332e+00 1.702279335909515634e+00 1.399503586443365588e+00 1.092371965213926099e+00 7.192124542664956044e-01 1.125757801444002393e+00 2.136438400594351084e+00 4.246241934549578545e+00 3.956127610183102661e+00 3.956127610183102661e+00 3.455369596406336008e+00 4.790094449578663038e+00 inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf 4.160532543425899732e+00 2.934860271148761246e+00 2.552318188110153763e+00 2.079637616099495823e+00 1.931549117753969869e+00 1.747172222435389166e+00 1.811303240906134482e+00 1.613480326423091693e+00 1.590305716291563476e+00 1.940464080169486794e+00 1.886674920692936963e+00 1.525415457516399398e+00 1.234179967842083725e+00 1.337491413997897061e+00 1.459586974601912113e+00 2.024692346928013809e+00 1.738460944868695845e+00 1.855118612663782640e+00 2.356756395689671990e+00 2.328739583990730999e+00 3.035674796064415926e+00 3.020569662272440059e+00 3.226564071877811468e+00 3.515029541038511507e+00 4.132127619151382270e+00 5.073320958621457599e+00 inf inf inf inf
8.466386910940128629e+00 8.021478626549352953e+00 5.459893957790665553e+00 4.062215442271323695e+00 4.017931196516106418e+00 2.787999808493870191e+00 1.358923453028479056e+00 9.208852216345418951e-01 5.152670640808668656e-01 0.000000000000000000e+00 9.189253537033359454e-01 6.923108440810270547e-01 inf 3.281390594876676836e+00 inf inf inf inf inf inf inf inf inf 3.409502447319824547e+00 2.024252670930440701e+00 1.277158657770532502e+00 1.285598228267576859e+00 1.307823669431781299e+00 1.022965696236036948e+00 1.025478425808533878e+00 1.152262384778691029e+00 1.403218011310954472e+00 1.440220589045956290e+00 2.449848915956914119e+00 5.050349112207451086e+00 5.495257396598226762e+00 4.201957688794360379e+00 4.293809394499362497e+00 5.050349112207451086e+00 5.495257396598226762e+00 inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf 4.160532543425899732e+00 2.934860271148761246e+00 2.198757986820638166e+00 1.828507514654416521e+00 1.751755517943980767e+00 1.388329295704196609e+00 1.943839374409478848e+00 1.930996022523243871e+00 1.918404624776970158e+00 1.698419631101018457e+00 2.021700512595699273e+00 1.391556820056091714e+00 1.180674069183038855e+00 1.292018560857724596e+00 1.825686116812564208e+00 2.062234794565716900e+00 2.229697324129197966e+00 2.139501740972461263e+00 2.061698486821224474e+00 2.093123301970349459e+00 2.857720243818088868e+00 2.847630121659086466e+00 3.387084333707689687e+00 4.485184197837154052e+00 6.223392190031797000e+00 inf inf inf inf inf
inf 8.323158434546602535e+00 7.433341865765051182e+00 2.489690111485701518e+00 5.256676567857090809e+00 1.698905183065368307e+00 1.068302261026513600e+00 6.179729666380130437e-01 3.378000355138026101e-01 6.277357586945415679e-01 5.092441993831492431e-01 8.388694731843618912e-01 1.853095534561763680e+00 inf inf inf inf inf inf inf inf inf inf 2.209759272187447721e+00 1.965638560699744630e+00 1.989817946644894642e+00 1.280494425467233688e+00 8.400160677250970709e-01 1.092172410735234633e+00 1.334765085744646695e+00 1.419871638437139039e+00 8.946652950467414156e-01 1.999381524374741037e+00 2.433313981894901445e+00 4.605440827816675409e+00 4.345186165187887362e+00 4.566527885168043532e+00 4.790094449578663038e+00 5.352028920204698892e+00 6.385073965379778116e+00 inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf inf 2.524545900490271944e+00 2.020269370474286674e+00 1.821710247447273501e+00 1.656705941346695354e+00 2.035864651498866085e+00 2.158316847432939056e+00 1.736467329436815588e+00 1.886674920692936963e+00 1.488857992650781892e+00 1.266337453284116732e+00 1.254197159936476291e+00 1.596554733055086883e+00 1.955938345103891640e+00 1.490456319729852153e+00 1.811552405565222568e+00 1.676661035732863958e+00 2.149392467251869832e+00 2.398366026557253061e+00 2.781789899664610211e+00 3.208142558480353124e+00 3.447874240123391942e+00 3.510327197841920821e+00 3.752109593535770671e+00 5.021944187932933623e+00 inf inf inf inf inf
