# /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/CVs/cumulativeHardEnrichment.py --model /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/DIPC/4/450K/4DIPC.psf --traj /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/DIPC/4/450K/fixed_4DIPC_100.dcd --lipid_list /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/DIPC/lipidList_NO_CHOL.dat --r /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/DIPC/450K/avgRcutoff_NO_CHOL.dat
# cumEnrichmentAVG	DPPC-DPPC	DIPC-DIPC
2.515945424745186 	 1.1726440709796737	1.3433013537655123
2.4785284465537503 	 1.1682202806318622	1.3103081659218878
2.4121987825875157 	 1.142517745556326	1.26968103703119
2.454505660457315 	 1.1435239291052355	1.3109817313520797
2.5036205737907595 	 1.1761984357664632	1.3274221380242965
2.4658191714333846 	 1.141533602222037	1.3242855692113473
2.421964690083624 	 1.14495692387553	1.277007766208094
2.503835115089636 	 1.1644757928296297	1.3393593222600066
2.48213297737259 	 1.161435605610386	1.3206973717622037
2.3940512874300515 	 1.1196516712556435	1.2743996161744082
2.433421029393282 	 1.1354480258260335	1.2979730035672485
2.4568578115501274 	 1.148360788515176	1.3084970230349513
2.5424996918067437 	 1.1816044383524766	1.360895253454267
2.410279216734974 	 1.1310624375918636	1.2792167791431104
2.480891305509459 	 1.1665344859311548	1.314356819578304
2.4323500361381143 	 1.151946963769554	1.2804030723685602
2.4484800159251647 	 1.1479906145218426	1.3004894014033221
2.4798519860222177 	 1.164026336562322	1.3158256494598957
2.453993212601259 	 1.1613879803051244	1.2926052322961343
2.4649096922252722 	 1.154559794067125	1.3103498981581474
2.4982512859247485 	 1.171693210119184	1.3265580758055644
2.4094625439682194 	 1.1323861130418293	1.2770764309263902
2.5378391379091423 	 1.180966047794039	1.3568730901151034
2.4656229947272768 	 1.1529514637032547	1.312671531024022
2.434304946250023 	 1.1597602339907485	1.2745447122592743
2.4723913847343937 	 1.1592754852710048	1.313115899463389
2.5316527985335613 	 1.1826840379615766	1.3489687605719844
2.466577470899492 	 1.161866771448268	1.3047106994512239
2.4892617524485345 	 1.1636927918398356	1.3255689606086987
2.4721169701940187 	 1.1499015279630673	1.3222154422309513
2.4375516148227523 	 1.1599917504216197	1.2775598644011326
2.4658902995850753 	 1.1438446234138144	1.322045676171261
2.4462476090139575 	 1.145300116954711	1.3009474920592465
2.455498586965873 	 1.1477104743420274	1.3077881126238458
2.509837088827375 	 1.1631304791320385	1.3467066096953366
2.4388055327815272 	 1.1385727850990532	1.300232747682474
2.4555267793555267 	 1.1574571395374245	1.298069639818102
2.47702886015405 	 1.157387420156067	1.3196414399979828
2.455413823113771 	 1.1507896966884505	1.3046241264253204
2.4169740341335437 	 1.1284420227519982	1.2885320113815455
2.458653400142791 	 1.151094449242084	1.3075589509007068
2.4581973926377074 	 1.1509807429386743	1.3072166496990332
2.523919285584656 	 1.1590544500008626	1.3648648355837936
2.4265491552906013 	 1.1491437338350412	1.2774054214555601
2.4860493469599168 	 1.1433458962319776	1.3427034507279392
2.485396862440858 	 1.1617861928704998	1.3236106695703582
2.504496936789432 	 1.168328318916882	1.3361686178725498
2.461411366688699 	 1.1448676230154051	1.3165437436732939
2.446335796128082 	 1.1426391289277749	1.3036966672003074
2.4555318807043225 	 1.1527475357389534	1.3027843449653689
2.4919165237486167 	 1.15098875160906	1.3409277721395565
2.5000344023872305 	 1.1552755899179057	1.3447588124693246
2.4791472717626837 	 1.1501045214000698	1.3290427503626139
2.474212078903051 	 1.1681808179614042	1.306031260941647
2.503693035156638 	 1.1696544473343473	1.334038587822291
2.497047392169551 	 1.1634128700296231	1.3336345221399277
2.525695697647892 	 1.1691124666351673	1.3565832310127248
2.4745676199056543 	 1.1632431359449744	1.3113244839606801
2.508547050274977 	 1.1676268891379316	1.3409201611370456
2.42583377343217 	 1.1270928941876757	1.2987408792444946
2.4415481921873745 	 1.1362320137845185	1.305316178402856
2.464840344098506 	 1.1587788279957967	1.3060615161027092
2.4860744256729044 	 1.1503291236339566	1.335745302038948
2.478053455888828 	 1.1594913536861722	1.3185621022026557
2.4498692096115224 	 1.1513385916793473	1.2985306179321752
2.4752970347938934 	 1.1419046038657028	1.3333924309281908
2.4685331268577912 	 1.140039558137624	1.3284935687201673
2.46847361659904 	 1.1496094588265797	1.3188641577724605
2.428335110220292 	 1.1438929894210783	1.284442120799214
2.503841323745518 	 1.1707781308672418	1.3330631928782761
2.517684737849553 	 1.1612686627873698	1.3564160750621834
2.5371530801827644 	 1.176661213494619	1.3604918666881456
2.48481028931191 	 1.1630750068580502	1.3217352824538597
2.4166574261108433 	 1.1556313455508702	1.2610260805599731
2.4159557689269846 	 1.1379884534200406	1.2779673155069442
2.5090684994141066 	 1.169135658264203	1.3399328411499036
2.476633027103367 	 1.1435873078776382	1.333045719225729
2.5092767737046677 	 1.1586249302430494	1.3506518434616184
2.460408818293589 	 1.136539512279573	1.323869306014016
2.5218838275148436 	 1.1738114595115756	1.348072368003268
2.4273860979603015 	 1.1545429273583991	1.2728431706019023
2.422053350393433 	 1.150438249858682	1.271615100534751
2.4982578433789864 	 1.1690218425405532	1.3292360008384332
2.4607893982979308 	 1.1547208607019734	1.3060685375959573
2.4579121002107156 	 1.1480036746708433	1.3099084255398725
2.428189271795701 	 1.141167466905621	1.2870218048900801
2.458607718054032 	 1.1472022181603083	1.3114054998937235
2.4355992600785115 	 1.161430484444607	1.2741687756339046
2.4741107228445998 	 1.1336825919835822	1.3404281308610175
2.493584344529249 	 1.1559382914043062	1.337646053124943
2.4572766666894954 	 1.144134949904466	1.3131417167850294
2.4331058076658225 	 1.1670966989420628	1.2660091087237597
2.4207837960863356 	 1.1346017100828987	1.2861820860034368
2.5048438529933255 	 1.1780502037035592	1.3267936492897663
2.4301829515198587 	 1.1572324925275408	1.2729504589923177
2.528800431409075 	 1.1770433166742564	1.3517571147348189
2.4517615469158542 	 1.1378350914005084	1.3139264555153456
2.477077376261725 	 1.1617803740443011	1.3152970022174237
2.447828341792869 	 1.1356282480003108	1.3122000937925584
2.470736854167976 	 1.1610894443869648	1.309647409781011
2.5505501426903145 	 1.187511624579106	1.3630385181112086
2.462249289114938 	 1.1364201396764944	1.3258291494384435
2.4409170505523607 	 1.1467849724702965	1.2941320780820642
2.4653799230359787 	 1.1580189506834349	1.307360972352544
2.4763423439349173 	 1.162171834595005	1.3141705093399123
2.433230355738209 	 1.1535115755400502	1.2797187801981589
2.4629810663361997 	 1.1580390401703986	1.3049420261658011
2.438439336426812 	 1.1615279383919326	1.2769113980348794
2.5066025883758023 	 1.167906977330786	1.3386956110450163
2.492034839499412 	 1.1567405286034755	1.3352943108959365
2.4468234206883714 	 1.1469933644807722	1.2998300562075995
2.447221683803634 	 1.1441697046339032	1.3030519791697308
2.463225978082395 	 1.1471925513301258	1.3160334267522695
2.4311718071362565 	 1.1371478649144653	1.294023942221791
2.5490393060528937 	 1.1716717447632092	1.3773675612896843
2.4360589125933587 	 1.1412045384557437	1.294854374137615
2.4421419030690448 	 1.1469776344449696	1.295164268624075
2.3661035977045866 	 1.1140459032359655	1.252057694468621
2.4525212491995614 	 1.1465766864012008	1.3059445627983608
2.4628994299873646 	 1.1571555858767621	1.3057438441106024
2.407868936763465 	 1.1376414611435313	1.2702274756199339
2.4582350794249925 	 1.1552143504270518	1.3030207289979407
2.4134704385634027 	 1.1320829956499436	1.2813874429134589
2.490488556711781 	 1.1511899982887146	1.3392985584230666
2.44150358261084 	 1.143206321055814	1.298297261555026
