# /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/CVs/binaryShannonEntropy.py --model /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/DIPC/4/450K/4DIPC.psf --traj /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/DIPC/4/450K/fixed_4DIPC_100.dcd --lipid_list /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/DIPC/lipidList.dat --r /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/DIPC/450K/avgRcutoff.dat
# radius	14.5
# Avg Binary Entropy	Upper Leaflet BSE         	Lower Leaflet BSE	likeUp	likeLo	unlikeUp        	unlikeLo
558.5849652826984 	 561.4830472100571 	 555.6868833553397 	 314.13778578729796 	 309.5232934527892 	 247.3452614227591 	 246.16358990255043
552.501705164806 	 542.2554559130162 	 562.7479544165957 	 302.254606792885 	 313.8111498653349 	 240.00084912013128 	 248.93680455126074
547.8152652895217 	 554.6259652179534 	 541.00456536109 	 311.01644368732025 	 304.16851471415106 	 243.60952153063317 	 236.83605064693904
553.2733379133476 	 557.9696054129726 	 548.5770704137228 	 313.140752830652 	 306.6936217823563 	 244.82885258232054 	 241.8834486313665
559.3953702833909 	 566.4337898576212 	 552.3569507091606 	 316.2331172458325 	 306.92188994329393 	 250.2006726117886 	 245.43506076586675
552.920926932979 	 544.4085617368153 	 561.4332921291427 	 303.9018842661004 	 312.8482747803271 	 240.5066774707148 	 248.5850173488157
554.7796556393612 	 563.844348687501 	 545.7149625912213 	 318.3395066758593 	 305.10729573626253 	 245.50484201164164 	 240.6076668549587
555.8266511307315 	 556.1393044590415 	 555.5139978024215 	 312.11281812698104 	 308.91431944639817 	 244.02648633206041 	 246.59967835602328
555.5028193070218 	 555.0192151906648 	 555.9864234233789 	 307.3994064805681 	 309.8705013596259 	 247.6198087100967 	 246.1159220637531
557.674124053467 	 556.5270438478824 	 558.8212042590516 	 311.98675653625656 	 313.8098117108835 	 244.54028731162578 	 245.01139254816806
554.4558770543641 	 551.1851925305555 	 557.7265615781728 	 309.2372375229314 	 310.92264906019506 	 241.94795500762405 	 246.80391251797766
549.7273205651838 	 561.0740082572677 	 538.3806328730999 	 311.95799259275 	 302.11292431327087 	 249.11601566451768 	 236.26770855982906
554.7916177917502 	 547.3756973428492 	 562.2075382406513 	 303.55186245885795 	 312.83598973710724 	 243.82383488399128 	 249.371548503544
557.6863101153401 	 557.6628551029848 	 557.7097651276955 	 315.61709404329406 	 312.5058886219476 	 242.04576105969073 	 245.20387650574793
557.3737871942182 	 553.5806455338701 	 561.1669288545662 	 307.34702309774246 	 314.0158568556997 	 246.23362243612763 	 247.15107199886648
555.1541676406619 	 557.6828534710828 	 552.6254818102409 	 310.22480120304135 	 308.28762076619364 	 247.4580522680415 	 244.33786104404726
551.1915160226432 	 547.6389488702059 	 554.7440831750805 	 305.56440816034956 	 310.8745568176813 	 242.0745407098564 	 243.86952635739925
552.9077463077175 	 559.9175582336939 	 545.8979343817412 	 314.32184534231794 	 304.20418383269157 	 245.59571289137594 	 241.6937505490496
554.8543418214936 	 562.7341471960198 	 546.9745364469672 	 314.75564391571237 	 305.6318482819821 	 247.97850328030736 	 241.3426881649851
554.5568496668106 	 550.4398446000345 	 558.6738547335867 	 307.0000627750788 	 311.7165383257362 	 243.4397818249557 	 246.9573164078505
554.4610484916202 	 542.3612547661558 	 566.5608422170847 	 302.1402746824552 	 315.7615675504536 	 240.22098008370057 	 250.79927466663102
552.7261742897364 	 545.1487160666759 	 560.3036325127969 	 301.7041410893118 	 316.81582788525543 	 243.44457497736408 	 243.4878046275414
555.011822425312 	 560.1928603485965 	 549.8307845020273 	 312.3289081651178 	 301.32912610832216 	 247.86395218347863 	 248.50165839370516
562.6861005767773 	 567.7945863532856 	 557.577614800269 	 316.2259271892418 	 310.46939397218273 	 251.5686591640438 	 247.10822082808627
550.8669704161485 	 542.3051293117113 	 559.4288115205858 	 300.1453238744016 	 313.9103556548453 	 242.15980543730973 	 245.5184558657405
555.1269312048677 	 559.1645691179205 	 551.0892932918149 	 312.4887111011951 	 305.68818875155046 	 246.67585801672533 	 245.4011045402644
554.2627343600419 	 543.7978082214734 	 564.7276604986105 	 302.33199996965675 	 311.8377941033262 	 241.46580825181655 	 252.88986639528423
559.6769146235276 	 544.4228404277084 	 574.9309888193469 	 304.64447700238276 	 317.7436648402897 	 239.77836342532558 	 257.1873239790572
556.3414114573981 	 573.8691125333391 	 538.813710381457 	 318.73460328285887 	 300.7243602395674 	 255.1345092504803 	 238.08935014188955
