# /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/CVs/DBSCANanalysisSystem.py --model /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/DAPC/3/298K/3DAPC.psf --traj /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/DAPC/3/298K/fixed_3DAPC_100.dcd --lipid_list /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/DAPC/lipidList_NO_CHOL.dat --r /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/DAPC/298K/avgRcutoff_NO_CHOL.dat
# System consisting of species :	 DPPC	DAPC
# Cluster-count	Core lipid to total lipid	        Cluster lipids to total lipids	        Outlier lipids to total lipids	        Silhouette Coefficent for lipid species
22 0.07916666666666666 0.271875 0.728125 0.48541648333358095	0.5163403659001555
13 0.4375 0.8385416666666666 0.16145833333333334 0.10329271584080114	0.37468504925201074
12 0.4875 0.8677083333333333 0.13229166666666667 -0.022508451747224986	0.22617955716027036
11 0.5395833333333333 0.9020833333333333 0.09791666666666667 -0.07242799095026844	2
5 0.5385416666666667 0.9072916666666667 0.09270833333333334 0.16722896267066303	2
7 0.590625 0.9427083333333334 0.057291666666666664 -0.09386230728742487	2
8 0.5760416666666667 0.9458333333333333 0.05416666666666667 -0.06104208277407559	2
5 0.58125 0.9291666666666667 0.07083333333333333 0.110486324341332	2
5 0.5822916666666667 0.9354166666666667 0.06458333333333334 0.10566717890896829	2
6 0.596875 0.93125 0.06875 0.08201525966712488	2
5 0.615625 0.9416666666666667 0.058333333333333334 0.04928391514534575	2
4 0.584375 0.928125 0.071875 2	2
6 0.5666666666666667 0.9416666666666667 0.058333333333333334 0.043199331344939494	2
4 0.6041666666666666 0.946875 0.053125 2	2
6 0.55625 0.9145833333333333 0.08541666666666667 -0.0752957511495987	2
6 0.55625 0.9052083333333333 0.09479166666666666 0.07793673928960788	2
4 0.5989583333333334 0.925 0.075 2	2
5 0.5947916666666667 0.95 0.05 -0.08976067813355566	2
7 0.5697916666666667 0.9229166666666667 0.07708333333333334 -0.010270944467287357	2
5 0.5833333333333334 0.9375 0.0625 0.14428881559784776	2
4 0.5958333333333333 0.9541666666666667 0.04583333333333333 2	2
7 0.61875 0.9645833333333333 0.035416666666666666 0.03263913714123276	2
5 0.5958333333333333 0.9479166666666666 0.052083333333333336 0.12236115815129948	2
6 0.6083333333333333 0.9333333333333333 0.06666666666666667 -0.09324360217975165	2
4 0.61875 0.9447916666666667 0.05520833333333333 2	2
6 0.59375 0.9479166666666666 0.052083333333333336 -0.09457467177770387	2
4 0.6177083333333333 0.9520833333333333 0.04791666666666667 2	2
6 0.56875 0.928125 0.071875 -0.0002958192366076964	2
4 0.6020833333333333 0.9239583333333333 0.07604166666666666 2	2
5 0.5958333333333333 0.9447916666666667 0.05520833333333333 0.1059183022753703	2
4 0.6291666666666667 0.9447916666666667 0.05520833333333333 2	2
5 0.596875 0.9395833333333333 0.06041666666666667 0.08993125449438572	2
5 0.5979166666666667 0.9395833333333333 0.06041666666666667 0.07110772383522015	2
8 0.596875 0.9552083333333333 0.04479166666666667 -0.15759303898343355	2
4 0.5729166666666666 0.9447916666666667 0.05520833333333333 2	2
5 0.5791666666666667 0.9260416666666667 0.07395833333333333 0.1520502921517979	2
5 0.5875 0.9302083333333333 0.06979166666666667 0.14332201092575297	2
7 0.603125 0.940625 0.059375 -0.010378565603332337	2
9 0.5708333333333333 0.9458333333333333 0.05416666666666667 0.22249249214331862	2
7 0.5760416666666667 0.9302083333333333 0.06979166666666667 -0.07452775253313204	2
5 0.5770833333333333 0.946875 0.053125 0.2522041045545968	2
6 0.5989583333333334 0.9510416666666667 0.04895833333333333 0.038680723779766384	2
4 0.5708333333333333 0.9208333333333333 0.07916666666666666 2	2
4 0.6072916666666667 0.9520833333333333 0.04791666666666667 2	2
4 0.603125 0.940625 0.059375 2	2
6 0.5864583333333333 0.9510416666666667 0.04895833333333333 0.0760294954206721	2
5 0.5947916666666667 0.953125 0.046875 0.22646357567128367	2
6 0.5895833333333333 0.9354166666666667 0.06458333333333334 -0.058873168660842835	2
6 0.6104166666666667 0.93125 0.06875 -0.0755693117852242	2
4 0.565625 0.9385416666666667 0.06145833333333333 2	2
4 0.5927083333333333 0.94375 0.05625 2	2
4 0.6125 0.9541666666666667 0.04583333333333333 2	2
4 0.6052083333333333 0.959375 0.040625 2	2
5 0.596875 0.94375 0.05625 0.2034821586879313	2
4 0.5572916666666666 0.9333333333333333 0.06666666666666667 2	2
6 0.5864583333333333 0.9322916666666666 0.06770833333333333 -0.07501679967162317	2
8 0.596875 0.9354166666666667 0.06458333333333334 -0.06826669095690112	2
7 0.5864583333333333 0.946875 0.053125 0.14075947176977954	2
5 0.5875 0.9479166666666666 0.052083333333333336 -0.044434320855192284	2
9 0.5625 0.9322916666666666 0.06770833333333333 -0.07118307591335606	2
6 0.59375 0.9489583333333333 0.051041666666666666 -0.0009923963461857888	2
7 0.59375 0.9291666666666667 0.07083333333333333 0.04766344065590962	2
7 0.5770833333333333 0.9302083333333333 0.06979166666666667 -0.07698794338004511	2
9 0.5739583333333333 0.928125 0.071875 -0.043728826498358055	2
7 0.5677083333333334 0.9375 0.0625 0.1718111551340756	2
5 0.58125 0.9447916666666667 0.05520833333333333 0.11751904639374619	2
