# /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/CVs/binaryShannonEntropy.py --model /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/DAPC/2/450K/2DAPC.psf --traj /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/DAPC/2/450K/fixed_2DAPC_100.dcd --lipid_list /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/DAPC/lipidList.dat --r /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/DAPC/450K/avgRcutoff.dat
# radius	18.0
# Avg Binary Entropy	Upper Leaflet BSE         	Lower Leaflet BSE	likeUp	likeLo	unlikeUp        	unlikeLo
349.39409040813746 	 356.26091825917354 	 342.5272625571014 	 186.81559260790456 	 176.02631654870814 	 169.44532565126894 	 166.5009460083932
343.02968346228465 	 342.4503092124729 	 343.6090577120964 	 173.86887755031665 	 178.46362202143604 	 168.58143166215626 	 165.14543569066038
347.299842549679 	 348.0408075195521 	 346.5588775798059 	 181.39231995073214 	 179.19388512689474 	 166.64848756882 	 167.36499245291117
349.1531251770126 	 340.53154945983624 	 357.774700894189 	 178.86286332621788 	 188.36770636901707 	 161.66868613361834 	 169.4069945251719
349.602500891275 	 344.84609185822615 	 354.3589099243239 	 180.6616762871682 	 184.97224449185498 	 164.18441557105797 	 169.3866654324689
351.3743011687152 	 353.68374884038786 	 349.0648534970425 	 187.1568635704005 	 184.02201076744834 	 166.52688526998736 	 165.04284272959418
345.13299437110743 	 330.163737377959 	 360.1022513642559 	 171.52160751079649 	 187.37832141984077 	 158.64212986716257 	 172.72392994441512
347.3106996388471 	 349.9260726848637 	 344.6953265928305 	 180.29443391875662 	 184.09982986921077 	 169.6316387661071 	 160.59549672361976
350.9438550204992 	 354.42522955002005 	 347.46248049097835 	 186.14036355091258 	 183.18575078421043 	 168.28486599910744 	 164.27672970676792
345.4809865179172 	 342.04324102747154 	 348.91873200836284 	 177.5547103168699 	 181.10204499838514 	 164.48853071060165 	 167.8166870099777
347.1354789510707 	 358.6857883986328 	 335.5851695035086 	 184.3472899259873 	 174.82685817562705 	 174.33849847264545 	 160.7583113278816
348.66458987771955 	 347.34952416926586 	 349.97965558617324 	 182.10873494038367 	 184.84612385921704 	 165.2407892288822 	 165.1335317269562
348.262277199561 	 345.070727369843 	 351.45382702927907 	 178.9304369678574 	 181.35548281833223 	 166.1402904019856 	 170.0983442109468
342.3491233767926 	 333.93693597972896 	 350.7613107738563 	 175.36216608824313 	 185.4546356747675 	 158.57476989148583 	 165.30667509908875
348.3773745798884 	 355.5189824440214 	 341.23576671575546 	 186.8482038468986 	 177.69290586187077 	 168.67077859712282 	 163.5428608538847
348.60021692103226 	 353.22217378333505 	 343.97826005872946 	 185.42464961016327 	 178.73091599975336 	 167.79752417317178 	 165.24734405897613
349.7199153069289 	 348.9237809048361 	 350.5160497090217 	 180.79869450430738 	 183.7318650697535 	 168.12508640052874 	 166.78418463926818
346.9286356090236 	 344.2898629067349 	 349.5674083113123 	 180.18574553365144 	 180.03287606000168 	 164.1041173730835 	 169.53453225131065
344.35258644299137 	 355.06241989772116 	 333.6427529882616 	 186.1493995701962 	 168.947545535291 	 168.91302032752498 	 164.69520745297055
344.07719235868046 	 342.0683921321637 	 346.08599258519723 	 175.36353973330773 	 182.3249847781086 	 166.704852398856 	 163.76100780708867
346.33371313905207 	 332.43165392816627 	 360.2357723499379 	 171.71314839008932 	 189.9172118932337 	 160.71850553807698 	 170.3185604567042
348.2562588009198 	 350.80584170090583 	 345.7066759009337 	 184.95027066778962 	 178.9695672117275 	 165.85557103311618 	 166.7371086892062
342.82051902612363 	 338.6857334968415 	 346.9553045554057 	 175.15561587933212 	 177.78015397478384 	 163.5301176175094 	 169.17515058062185
347.41617404492285 	 356.94697444956 	 337.88537364028565 	 185.4353641887694 	 176.36533428699954 	 171.51161026079058 	 161.5200393532861
348.4566294014093 	 340.7277947826168 	 356.18546402020183 	 175.16849451568064 	 188.58735693235096 	 165.55930026693616 	 167.5981070878509
