# /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/CVs/DBSCANanalysisSpecies.py --model /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/DIPC/4/298K/4DIPC.psf --traj /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/DIPC/4/298K/fixed_4DIPC_100.dcd --lipid_list /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/DIPC/lipidList_NO_CHOL.dat --r /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/DIPC/298K/avgRcutoff_NO_CHOL.dat
# Individual Species Contribution :	 DPPC-DPPC	DIPC-DIPC
# Cluster-count	Core to Total Lipids	Cluster lipids to        Total Lipids	Outliers To Total Lipids	Mean Core lipids per cluster        	STD Core lipids per cluster	 Mean lipids per cluster	 STD lipids         per cluster	 Silhouette Coefficent
2	2 0.6932367149758454	0.8796296296296297 0.9094202898550725	0.95 0.09057971014492754	0.05 287.0	237.5 15.0	14.5 376.5	256.5 8.5	8.5 2	2
4	2 0.678743961352657	0.8777777777777778 0.9251207729468599	0.9555555555555556 0.0748792270531401	0.044444444444444446 140.5	237.0 135.50737987283202	4.0 191.5	258.0 180.0673485116055	6.0 0.05519792102911452	2
3	2 0.6570048309178744	0.85 0.9239130434782609	0.937037037037037 0.07608695652173914	0.06296296296296296 181.33333333333334	229.5 124.92753455059012	6.5 255.0	253.0 171.12178898862257	5.0 0.1740065705093782	2
2	2 0.6328502415458938	0.8592592592592593 0.893719806763285	0.9407407407407408 0.10628019323671498	0.05925925925925926 262.0	232.0 11.0	5.0 370.0	254.0 9.0	4.0 2	2
3	2 0.6618357487922706	0.8518518518518519 0.9118357487922706	0.9314814814814815 0.08816425120772947	0.06851851851851852 182.66666666666666	230.0 121.96265366450866	7.0 251.66666666666666	251.5 166.72598944242483	5.5 0.1112513665783247	2
2	3 0.6594202898550725	0.8518518518518519 0.9045893719806763	0.9407407407407408 0.09541062801932366	0.05925925925925926 273.0	153.33333333333334 12.0	103.5385059879764 374.5	169.33333333333334 0.5	112.71300822097785 2	0.20959806449152943
2	2 0.6847826086956522	0.8722222222222222 0.9371980676328503	0.9314814814814815 0.06280193236714976	0.06851851851851852 283.5	235.5 5.5	3.5 388.0	251.5 2.0	1.5 2	2
2	2 0.6207729468599034	0.8703703703703703 0.8804347826086957	0.9333333333333333 0.11956521739130435	0.06666666666666667 257.0	235.0 13.0	1.0 364.5	252.0 4.5	5.0 2	2
3	2 0.6799516908212561	0.8666666666666667 0.9166666666666666	0.9388888888888889 0.08333333333333333	0.06111111111111111 187.66666666666666	234.0 130.0931290354038	8.0 253.0	253.5 172.29238714077493	8.5 0.11874645335232939	2
2	2 0.6630434782608695	0.8796296296296297 0.8840579710144928	0.9611111111111111 0.11594202898550725	0.03888888888888889 274.5	237.5 11.5	5.5 366.0	259.5 6.0	2.5 2	2
3	2 0.6630434782608695	0.8870370370370371 0.9178743961352657	0.9481481481481482 0.0821256038647343	0.05185185185185185 183.0	239.5 127.49117616525467	1.5 253.33333333333334	256.0 172.15755058150143	1.0 0.08895922012291951	2
2	2 0.6413043478260869	0.8685185185185185 0.894927536231884	0.9444444444444444 0.10507246376811594	0.05555555555555555 265.5	234.5 10.5	3.5 370.5	255.0 3.5	1.0 2	2
4	2 0.6521739130434783	0.8648148148148148 0.8816425120772947	0.9388888888888889 0.11835748792270531	0.06111111111111111 135.0	233.5 132.0075755401939	0.5 182.5	253.5 170.04778740107147	2.5 0.10664504668483542	2
2	2 0.6763285024154589	0.8796296296296297 0.9202898550724637	0.9537037037037037 0.07971014492753623	0.046296296296296294 280.0	237.5 0.0	1.5 381.0	257.5 5.0	3.5 2	2
4	2 0.6388888888888888	0.8851851851851852 0.8804347826086957	0.937037037037037 0.11956521739130435	0.06296296296296296 132.25	239.0 128.40828439006575	1.0 182.25	253.0 170.4352883061486	0.0 0.06983313063280158	2
3	2 0.6304347826086957	0.8629629629629629 0.9130434782608695	0.9314814814814815 0.08695652173913043	0.06851851851851852 174.0	233.0 121.62510705716426	2.0 252.0	251.5 172.58234749436764	0.5 0.16607592229039264	2
2	2 0.6376811594202898	0.8685185185185185 0.9033816425120773	0.937037037037037 0.0966183574879227	0.06296296296296296 264.0	234.5 8.0	5.5 374.0	253.0 4.0	1.0 2	2
3	2 0.6727053140096618	0.8759259259259259 0.9323671497584541	0.9351851851851852 0.06763285024154589	0.06481481481481481 185.66666666666666	236.5 129.2912302603012	0.5 257.3333333333333	252.5 175.04539093871878	0.5 0.05889568430007664	2
3	2 0.6666666666666666	0.8759259259259259 0.9190821256038647	0.9444444444444444 0.08091787439613526	0.05555555555555555 184.0	236.5 129.4526940623485	4.5 253.66666666666666	255.0 173.7514188591148	2.0 0.11818389650380036	2
2	3 0.6413043478260869	0.8611111111111112 0.8768115942028986	0.9481481481481482 0.12318840579710146	0.05185185185185185 265.5	155.0 8.5	105.36602868097478 363.0	170.66666666666666 4.0	115.09512973574898 2	0.14374747308464958
