# /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/CVs/cumulativeHardEnrichment.py --model /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/DAPC/1/450K/1DAPC.psf --traj /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/DAPC/1/450K/fixed_1DAPC_100.dcd --lipid_list /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/DAPC/lipidList.dat --r /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/DAPC/450K/avgRcutoff.dat
# cumEnrichmentAVG	DPPC-DPPC	DAPC-DAPC	CHOL-CHOL
4.431089410476457 	 1.367945104789528	1.5753788174218193	1.4877654882651101
4.179084072733319 	 1.2664342242935582	1.3983704516716298	1.5142793967681318
4.365276493467231 	 1.2874432852006912	1.4455808280273543	1.6322523802391857
4.183662056520038 	 1.2508369138433553	1.33242758699474	1.6003975556819432
4.2170452684137505 	 1.2646801435728832	1.3265531408940496	1.625811983946818
4.34969304785558 	 1.25971582809397	1.4610177376936382	1.6289594820679723
4.276853273258787 	 1.255463986263571	1.3517966449123935	1.6695926420828227
4.294726454157316 	 1.2595589161983574	1.4027723976838935	1.6323951402750654
4.151267537642327 	 1.2394477335069212	1.3510035434204766	1.5608162607149292
4.274213814610436 	 1.2575531151541632	1.429428094171502	1.58723260528477
4.450043246634892 	 1.2782965467304408	1.3649478147733771	1.806798885131074
4.303435807225178 	 1.257776241519108	1.3950475817087207	1.6506119839973488
4.185230407328321 	 1.2501441804326285	1.4236483409388698	1.511437885956822
4.513495356400966 	 1.3357748840393202	1.5378306494337348	1.6398898229279113
4.148430149572416 	 1.2642875471835482	1.3783239864383419	1.505818615950526
4.337691757839612 	 1.257107191030887	1.4222741411731685	1.6583104256355563
4.4114313226897215 	 1.2992618320250924	1.3802304844729734	1.7319390061916557
