# /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/CVs/binaryShannonEntropy.py --model /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/DAPC/2/323K/2DAPC.psf --traj /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/DAPC/2/323K/fixed_2DAPC_100.dcd --lipid_list /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/DAPC/lipidList.dat --r /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/DAPC/323K/avgRcutoff.dat
# radius	15.5
# Avg Binary Entropy	Upper Leaflet BSE         	Lower Leaflet BSE	likeUp	likeLo	unlikeUp        	unlikeLo
333.2976064074792 	 343.69002434753725 	 322.9051884674211 	 179.6304773849627 	 164.74252598092013 	 164.05954696257456 	 158.16266248650098
327.6737705610442 	 327.4781561795704 	 327.86938494251797 	 157.5675836301188 	 158.64368073585464 	 169.91057254945164 	 169.2257042066633
302.024851783745 	 300.20151495499215 	 303.8481886124979 	 141.10722905447088 	 145.54414217324023 	 159.09428590052124 	 158.30404643925766
300.6460166865246 	 297.41417417902954 	 303.8778591940196 	 139.9356957544013 	 143.4023733575622 	 157.47847842462824 	 160.47548583645744
299.5710284914344 	 304.7363754410866 	 294.4056815417822 	 143.97525384574905 	 139.8161229398525 	 160.76112159533753 	 154.58955860192972
295.3998347863844 	 295.3430011736436 	 295.4566683991252 	 140.43510833605154 	 138.22127995173582 	 154.90789283759204 	 157.2353884473894
296.47155698676465 	 292.4848314097319 	 300.4582825637974 	 139.40472937381338 	 139.09846127342092 	 153.08010203591854 	 161.35982129037646
294.0788099932461 	 293.25131234821436 	 294.9063076382779 	 139.09352173162864 	 136.51016823896217 	 154.1577906165857 	 158.39613939931573
295.9839932354639 	 302.1046077528151 	 289.8633787181127 	 139.29104356067296 	 136.67805385731364 	 162.81356419214214 	 153.18532486079908
290.59287145613206 	 291.4948575964919 	 289.6908853157722 	 135.92463407775156 	 136.7470392609874 	 155.5702235187403 	 152.94384605478479
292.4768410254461 	 288.1800042520323 	 296.7736777988599 	 135.22151392807186 	 136.9169780870491 	 152.95849032396046 	 159.85669971181085
297.5843584472864 	 280.6571761198647 	 314.51154077470807 	 130.05027297496673 	 149.0747821033557 	 150.60690314489796 	 165.43675867135238
286.636923988864 	 277.3133952343677 	 295.9604527433603 	 129.6003552910732 	 139.65204121741968 	 147.71303994329446 	 156.3084115259406
296.2390002974189 	 274.1920590332461 	 318.28594156159176 	 128.11813130007897 	 149.30114875290369 	 146.0739277331671 	 168.98479280868807
294.4755353129008 	 277.76771100674955 	 311.183359619052 	 129.86341171565257 	 145.42430926779943 	 147.90429929109698 	 165.75905035125254
295.0275844538344 	 306.0386805804463 	 284.0164883272224 	 143.5392572049438 	 133.09062140851918 	 162.4994233755025 	 150.92586691870324
293.4152266060789 	 306.62570177669113 	 280.2047514354666 	 145.79786780894207 	 131.52744340182477 	 160.8278339677491 	 148.67730803364182
293.65502764791665 	 296.4548145709939 	 290.8552407248394 	 140.08551134748691 	 137.9887100743086 	 156.369303223507 	 152.8665306505308
296.9604824152052 	 304.2774998690726 	 289.6434649613378 	 142.4149548594046 	 135.5690005349144 	 161.86254500966803 	 154.0744644264234
294.62175479617366 	 295.2065694736225 	 294.03694011872483 	 138.4786586278527 	 137.59039487494357 	 156.72791084576977 	 156.4465452437813
294.0665378007992 	 286.5864738926199 	 301.5466017089786 	 134.36518616493484 	 142.54016323073546 	 152.22128772768505 	 159.00643847824313
302.0361861764738 	 315.03291935064544 	 289.03945300230214 	 149.47892021512544 	 134.52621771890426 	 165.55399913551997 	 154.51323528339785
297.65182225185606 	 306.8615424021198 	 288.44210210159235 	 144.48846572941486 	 134.3917269672987 	 162.37307667270497 	 154.0503751342937
298.71806601276114 	 290.56623703369405 	 306.8698949918282 	 135.60824684389738 	 144.42772827324882 	 154.95799018979667 	 162.44216671857936
299.97918103521954 	 299.72377198550663 	 300.2345900849324 	 141.09932942188894 	 140.98878036483578 	 158.6244425636177 	 159.24580972009664
298.2077635033396 	 295.7711043251849 	 300.64442268149435 	 138.20060453026235 	 142.06094690751402 	 157.57049979492257 	 158.58347577398033
298.34463218165024 	 305.0864946378033 	 291.6027697254972 	 143.35804717686727 	 137.52135929284555 	 161.728447460936 	 154.08141043265167
294.15081002636396 	 291.0522360385752 	 297.2493840141527 	 137.05456193865348 	 140.09727306369842 	 153.99767409992168 	 157.15211095045433
