# /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/CVs/DBSCANanalysisSystem.py --model /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/DAPC/4/298K/4DAPC.psf --traj /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/DAPC/4/298K/fixed_4DAPC_100.dcd --lipid_list /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/DAPC/lipidList.dat --r /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/DAPC/298K/avgRcutoff.dat
# System consisting of species :	 DPPC	DAPC	CHOL
# Cluster-count	Core lipid to total lipid	        Cluster lipids to total lipids	        Outlier lipids to total lipids	        Silhouette Coefficent for lipid species
25 0.060833333333333336 0.23583333333333334 0.7641666666666667 0.6839169590067435	0.5452915779243787	-2
19 0.3308333333333333 0.6541666666666667 0.3458333333333333 0.0021466840680540817	0.38719239338961575	-2
12 0.37166666666666665 0.69 0.31 0.20584132118477858	0.25450123051290136	-2
8 0.4 0.7175 0.2825 0.022795119426869404	2	-2
7 0.44166666666666665 0.7208333333333333 0.2791666666666667 0.10152536443713217	2	-2
8 0.45166666666666666 0.7575 0.2425 -0.15004820766184443	2	-2
6 0.48083333333333333 0.7475 0.2525 0.16392403534165084	2	-2
6 0.48333333333333334 0.7675 0.2325 0.06574537665879691	2	-2
7 0.48333333333333334 0.7691666666666667 0.23083333333333333 0.022249574552244033	2	2
7 0.445 0.7458333333333333 0.25416666666666665 0.003220826284901625	2	-2
6 0.4875 0.7658333333333334 0.23416666666666666 0.059975012792532714	2	-2
5 0.4633333333333333 0.745 0.255 0.09549119663013368	2	-2
4 0.46 0.7416666666666667 0.25833333333333336 2	2	-2
7 0.4633333333333333 0.7716666666666666 0.22833333333333333 0.16679990150345583	2	-2
7 0.49583333333333335 0.7775 0.2225 0.11505099178167484	2	2
4 0.4841666666666667 0.7491666666666666 0.25083333333333335 2	2	-2
6 0.4975 0.7741666666666667 0.22583333333333333 0.11492117528550688	2	-2
5 0.49 0.7625 0.2375 2	2	-2
5 0.5016666666666667 0.7691666666666667 0.23083333333333333 2	2	-2
7 0.48583333333333334 0.7533333333333333 0.24666666666666667 0.04696599083028153	2	-2
7 0.4633333333333333 0.7325 0.2675 0.1086563446111851	2	-2
7 0.4533333333333333 0.7366666666666667 0.2633333333333333 -0.08690651629096052	2	-2
6 0.485 0.7583333333333333 0.24166666666666667 0.095613257791783	2	-2
6 0.4775 0.7616666666666667 0.23833333333333334 2	2	2
5 0.4825 0.7675 0.2325 2	2	-2
8 0.48 0.7641666666666667 0.23583333333333334 0.06021213283322968	2	0.7974707398777418
6 0.4675 0.7558333333333334 0.24416666666666667 0.14501721712261706	2	-2
6 0.4708333333333333 0.7591666666666667 0.24083333333333334 0.08998514457305684	2	-2
6 0.4633333333333333 0.7583333333333333 0.24166666666666667 2	2	-2
7 0.49416666666666664 0.7725 0.2275 0.14553339906617865	2	-2
8 0.4725 0.7641666666666667 0.23583333333333334 0.025724472291129813	2	-2
10 0.4825 0.7766666666666666 0.22333333333333333 -0.023558831518152846	2	-2
5 0.505 0.7658333333333334 0.23416666666666666 2	2	-2
9 0.45916666666666667 0.7366666666666667 0.2633333333333333 -0.07087784719904891	2	2
8 0.4483333333333333 0.74 0.26 -0.02836745167454233	2	-2
11 0.4683333333333333 0.7691666666666667 0.23083333333333333 -0.12822735147031694	2	0.6201776791014012
7 0.4725 0.7616666666666667 0.23833333333333334 0.05058342234200036	2	-2
6 0.48333333333333334 0.7575 0.2425 0.03881607598678042	2	-2
8 0.4675 0.7683333333333333 0.23166666666666666 -0.052347220077980025	2	-2
6 0.48 0.7675 0.2325 0.12927200825846158	2	-2
6 0.47833333333333333 0.7566666666666667 0.24333333333333335 2	2	2
8 0.48 0.7883333333333333 0.21166666666666667 0.1626298566308813	2	0.76225768022388
5 0.4608333333333333 0.7483333333333333 0.25166666666666665 2	2	-2
7 0.4666666666666667 0.7566666666666667 0.24333333333333335 0.0357814540148206	2	-2
6 0.4775 0.7633333333333333 0.23666666666666666 2	2	-2
4 0.475 0.7416666666666667 0.25833333333333336 2	2	-2
7 0.49333333333333335 0.7808333333333334 0.21916666666666668 0.1406611514552566	2	-2
5 0.4725 0.7558333333333334 0.24416666666666667 0.07621406859654346	2	-2
4 0.4625 0.7483333333333333 0.25166666666666665 2	2	-2
6 0.4875 0.7541666666666667 0.24583333333333332 2	2	-2
8 0.4666666666666667 0.75 0.25 0.013105772141108555	2	-2
6 0.4891666666666667 0.7691666666666667 0.23083333333333333 2	2	-2
4 0.4716666666666667 0.7558333333333334 0.24416666666666667 2	2	-2
9 0.4766666666666667 0.7666666666666667 0.23333333333333334 0.029980597508288492	2	-2
9 0.4891666666666667 0.7716666666666666 0.22833333333333333 0.07606019011109201	2	2
9 0.4725 0.7491666666666666 0.25083333333333335 0.018071627766979046	2	-2
9 0.46416666666666667 0.7366666666666667 0.2633333333333333 -0.1463545990197797	2	-2
9 0.4766666666666667 0.7766666666666666 0.22333333333333333 0.018620893187262993	2	2
11 0.46416666666666667 0.7591666666666667 0.24083333333333334 0.0064105070165427465	2	-2
8 0.47333333333333333 0.7633333333333333 0.23666666666666666 -0.016069119802863765	2	-2
8 0.4875 0.76 0.24 -0.009865535768627242	2	-2
