# /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/CVs/cumulativeHardEnrichment.py --model /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/DIPC/4/450K/4DIPC.psf --traj /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/DIPC/4/450K/fixed_4DIPC_100.dcd --lipid_list /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/DIPC/lipidList.dat --r /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/DIPC/450K/avgRcutoff.dat
# cumEnrichmentAVG	DPPC-DPPC	DIPC-DIPC	CHOL-CHOL
3.634418383452946 	 1.1726440709796737	1.3433013537655123	1.1184729587077598
3.6908882072260947 	 1.1682202806318622	1.3103081659218878	1.2123597606723444
3.6425830679648614 	 1.142517745556326	1.26968103703119	1.2303842853773455
3.660062855427314 	 1.1435239291052355	1.3109817313520797	1.2055571949699984
3.7424884820806463 	 1.1761984357664632	1.3274221380242965	1.2388679082898868
3.7132861127505064 	 1.141533602222037	1.3242855692113473	1.2474669413171218
3.6307435904524175 	 1.14495692387553	1.277007766208094	1.2087789003687934
3.6849292678649794 	 1.1644757928296297	1.3393593222600066	1.1810941527753431
3.739637838622392 	 1.161435605610386	1.3206973717622037	1.2575048612498019
3.657838685737082 	 1.1196516712556435	1.2743996161744082	1.2637873983070305
3.701203297513811 	 1.1354480258260335	1.2979730035672485	1.2677822681205289
3.6699331205169106 	 1.148360788515176	1.3084970230349513	1.2130753089667832
3.7451430403860435 	 1.1816044383524766	1.360895253454267	1.2026433485792998
3.5910805933123027 	 1.1310624375918636	1.2792167791431104	1.1808013765773286
3.708763388003038 	 1.1665344859311548	1.314356819578304	1.2278720824935792
3.7346659495664936 	 1.151946963769554	1.2804030723685602	1.302315913428379
3.690739401455107 	 1.1479906145218426	1.3004894014033221	1.2422593855299424
3.681709654940133 	 1.164026336562322	1.3158256494598957	1.2018576689179152
3.6840252528199526 	 1.1613879803051244	1.2926052322961343	1.2300320402186937
3.676243908043899 	 1.154559794067125	1.3103498981581474	1.2113342158186269
3.7415384344871923 	 1.171693210119184	1.3265580758055644	1.2432871485624435
3.6849304225666426 	 1.1323861130418293	1.2770764309263902	1.2754678785984233
3.8004799747484217 	 1.180966047794039	1.3568730901151034	1.2626408368392794
3.755288481597268 	 1.1529514637032547	1.312671531024022	1.2896654868699915
3.696602412533439 	 1.1597602339907485	1.2745447122592743	1.262297466283416
3.760141893938617 	 1.1592754852710048	1.313115899463389	1.2877505092042232
3.77781074751792 	 1.1826840379615766	1.3489687605719844	1.2461579489843586
3.7936669729212555 	 1.161866771448268	1.3047106994512239	1.3270895020217635
3.7573308163333348 	 1.1636927918398356	1.3255689606086987	1.2680690638848002
3.7127465017973647 	 1.1499015279630673	1.3222154422309513	1.240629531603346
3.7218915612376873 	 1.1599917504216197	1.2775598644011326	1.284339946414935
3.7454895625078617 	 1.1438446234138144	1.322045676171261	1.2795992629227861
3.6610138355151163 	 1.145300116954711	1.3009474920592465	1.2147662265011587
3.683246721966216 	 1.1477104743420274	1.3077881126238458	1.2277481350003432
3.731109952692827 	 1.1631304791320385	1.3467066096953366	1.2212728638654518
3.6527684056291063 	 1.1385727850990532	1.300232747682474	1.2139628728475793
3.6900379283429308 	 1.1574571395374245	1.298069639818102	1.234511148987404
3.681774898242262 	 1.157387420156067	1.3196414399979828	1.2047460380882118
3.690262761948503 	 1.1507896966884505	1.3046241264253204	1.2348489388347321
3.6200739836234974 	 1.1284420227519982	1.2885320113815455	1.2030999494899537
3.6670247117058334 	 1.151094449242084	1.3075589509007068	1.2083713115630428
3.7233934943895877 	 1.1509807429386743	1.3072166496990332	1.2651961017518802
3.8035189977410955 	 1.1590544500008626	1.3648648355837936	1.279599712156439
3.615505937039218 	 1.1491437338350412	1.2774054214555601	1.1889567817486166
3.6975385882316765 	 1.1433458962319776	1.3427034507279392	1.21148924127176
3.701032237903606 	 1.1617861928704998	1.3236106695703582	1.2156353754627478
3.7982112436502433 	 1.168328318916882	1.3361686178725498	1.2937143068608115
3.71710182199826 	 1.1448676230154051	1.3165437436732939	1.2556904553095611
3.7241077795278112 	 1.1426391289277749	1.3036966672003074	1.277771983399729
3.687357048104299 	 1.1527475357389534	1.3027843449653689	1.2318251673999767
3.7079003405542705 	 1.15098875160906	1.3409277721395565	1.2159838168056536
3.78024165992505 	 1.1552755899179057	1.3447588124693246	1.2802072575378194
3.6850835746610895 	 1.1501045214000698	1.3290427503626139	1.2059363028984058
3.676569405704249 	 1.1681808179614042	1.306031260941647	1.2023573268011982
3.6909886528573805 	 1.1696544473343473	1.334038587822291	1.187295617700742
3.7263563606364487 	 1.1634128700296231	1.3336345221399277	1.2293089684668979
3.740959200515352 	 1.1691124666351673	1.3565832310127248	1.2152635028674599
3.701933540406312 	 1.1632431359449744	1.3113244839606801	1.2273659205006577
3.7886279381593226 	 1.1676268891379316	1.3409201611370456	1.2800808878843455
3.636169886238037 	 1.1270928941876757	1.2987408792444946	1.2103361128058667
3.6710350978565294 	 1.1362320137845185	1.305316178402856	1.2294869056691549
3.6834472066743067 	 1.1587788279957967	1.3060615161027092	1.2186068625758009
3.7319670590647878 	 1.1503291236339566	1.335745302038948	1.2458926333918834
3.7092089576310907 	 1.1594913536861722	1.3185621022026557	1.2311555017422626
3.672136252357446 	 1.1513385916793473	1.2985306179321752	1.2222670427459237
3.7168871025751242 	 1.1419046038657028	1.3333924309281908	1.2415900677812308
