# /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/CVs/cumulativeHardEnrichment.py --model /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/POPC/1/298K/1POPC.psf --traj /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/POPC/1/298K/fixed_1POPC_100.dcd --lipid_list /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/POPC/lipidList.dat --r /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/POPC/298K/avgRcutoff.dat
# cumEnrichmentAVG	DPPC-DPPC	POPC-POPC	CHOL-CHOL
3.678446362876638 	 1.194222649006662	1.1552221345683813	1.329001579301595
3.5271153334950225 	 1.1651952830162084	1.1629652441970386	1.1989548062817756
3.444599518396096 	 1.1401500798294293	1.1165607678329583	1.1878886707337084
3.471498261577583 	 1.1361727341645045	1.141715040184819	1.1936104872282594
3.4789828957730218 	 1.1573204569354547	1.1304840405427485	1.1911783982948188
3.5865014674294153 	 1.1803350752467365	1.147054950944667	1.2591114412380118
3.4288463226419585 	 1.1516054168061318	1.1338028209907711	1.1434380848450556
3.465996340726245 	 1.1504466449239712	1.1393526560626024	1.1761970397396713
3.4785062840618286 	 1.1421766705271486	1.1421766705271486	1.1941529430075315
3.4475711798231936 	 1.1522526888885105	1.1343536179931548	1.1609648729415283
3.434717726576486 	 1.122452146044037	1.1124103276400648	1.1998552528923843
3.4858853561423206 	 1.1686003950024035	1.147494494332208	1.1697904668077088
3.506368712627327 	 1.145065150857771	1.1550998016442557	1.2062037601253006
3.5023917206486512 	 1.1368771000614246	1.1357657832480703	1.2297488373391559
3.4915335133322523 	 1.1642434091472713	1.1319959794765255	1.1952941247084552
3.479580477117263 	 1.1342220025278467	1.140907004507382	1.2044514700820343
3.446987144629023 	 1.1412736779033907	1.1111520852314536	1.1945613814941787
3.473095077953906 	 1.1534190049808013	1.121256359649606	1.1984197133234988
3.4308559603799 	 1.1233748824805478	1.130128639289048	1.177352438610304
3.5192811991543533 	 1.1539656573151214	1.1159474089152044	1.2493681329240274
3.5177780845942466 	 1.1734912787769525	1.1231987954007976	1.2210880104164965
3.451527690460303 	 1.1299177958113495	1.1198591804183704	1.2017507142305832
3.445205223837901 	 1.1473752056319793	1.122000561661272	1.1758294565446499
3.474504933357202 	 1.143778664594223	1.109050810918982	1.2216754578439968
3.426940760902441 	 1.1294484651024659	1.1172561853025373	1.1802361104974382
