# /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/CVs/DBSCANanalysisSpecies.py --model /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/DAPC/4/423K/4DAPC.psf --traj /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/DAPC/4/423K/fixed_4DAPC_100.dcd --lipid_list /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/DAPC/lipidList_NO_CHOL.dat --r /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/DAPC/423K/avgRcutoff_NO_CHOL.dat
# Individual Species Contribution :	 DPPC-DPPC	DAPC-DAPC
# Cluster-count	Core to Total Lipids	Cluster lipids to        Total Lipids	Outliers To Total Lipids	Mean Core lipids per cluster        	STD Core lipids per cluster	 Mean lipids per cluster	 STD lipids         per cluster	 Silhouette Coefficent
6	7 0.5533333333333333	0.5166666666666667 0.9066666666666666	0.8333333333333334 0.09333333333333334	0.16666666666666666 55.333333333333336	26.571428571428573 66.84725540779932	13.254186862563659 90.66666666666667	42.857142857142854 103.09811939226739	20.251480167622116 0.05797492943612272	0.3211950071815044
9	7 0.47	0.44166666666666665 0.86	0.7583333333333333 0.14	0.24166666666666667 31.333333333333332	22.714285714285715 43.974740224107954	28.867749111690543 57.333333333333336	39.0 69.79334575094614	43.06805246185556 0.023560026483819732	0.1881581649920835
6	5 0.5066666666666667	0.49444444444444446 0.8533333333333334	0.8 0.14666666666666667	0.2 50.666666666666664	35.6 65.8778330615761	43.17684564671208 85.33333333333333	57.6 102.15130390204958	62.15014078825566 0.04240302456824146	0.05615321384087186
14	7 0.46	0.46944444444444444 0.8616666666666667	0.7388888888888889 0.13833333333333334	0.2611111111111111 19.714285714285715	24.142857142857142 32.97494410572231	29.72939176461364 36.92857142857143	38.0 53.510298455683525	39.034783023789 0.011993652751766531	0.1403323040813999
9	6 0.4716666666666667	0.49166666666666664 0.825	0.7861111111111111 0.175	0.21388888888888888 31.444444444444443	29.5 34.46128620515462	32.13383471254767 55.0	47.166666666666664 49.35134806219133	45.35936752449511 0.15030924143399904	0.17292451897496577
12	8 0.4583333333333333	0.4083333333333333 0.83	0.7555555555555555 0.17	0.24444444444444444 22.916666666666668	18.375 41.8219606055107	21.517071710620847 41.5	34.0 62.92389583192276	35.87129771837088 0.026550377591335765	0.17258550636978362
9	4 0.405	0.4083333333333333 0.7633333333333333	0.6277777777777778 0.23666666666666666	0.37222222222222223 27.0	36.75 32.128215360057304	33.41687447981932 50.888888888888886	56.5 53.73483133653099	46.5537323960174 0.12255327246909985	0.33512212869838964
11	4 0.49666666666666665	0.5333333333333333 0.8416666666666667	0.7777777777777778 0.15833333333333333	0.2222222222222222 27.09090909090909	48.0 32.11755267891134	43.41082814229648 45.90909090909091	70.0 45.798877607236676	58.81751439834907 0.11079326047064025	0.2362586095051988
3	4 0.555	0.525 0.86	0.7861111111111111 0.14	0.21388888888888888 111.0	47.25 77.78603130811256	40.64710936831794 172.0	70.75 115.27647924302106	53.49474273234707 0.14505129786664625	0.2182069584135336
5	2 0.4866666666666667	0.5277777777777778 0.8566666666666667	0.725 0.14333333333333334	0.275 58.4	95.0 61.39250768619897	8.0 102.8	130.5 103.6405326115222	9.5 0.03898876079025885	2
7	5 0.48	0.44166666666666665 0.8066666666666666	0.7111111111111111 0.19333333333333333	0.28888888888888886 41.142857142857146	31.8 48.82455053243069	33.97293040054096 69.14285714285714	51.2 75.62204624017404	47.53272556881206 0.04799009701828362	0.20272596909458862
6	6 0.49666666666666665	0.475 0.8033333333333333	0.7555555555555555 0.19666666666666666	0.24444444444444444 49.666666666666664	28.5 44.41721388030646	29.033027170218862 80.33333333333333	45.333333333333336 68.34634022551772	39.55024933198553 0.17257944319319451	0.26047944983682414
8	12 0.42	0.44722222222222224 0.77	0.7916666666666666 0.23	0.20833333333333334 31.5	13.416666666666666 39.30012722625717	15.266839518672125 57.75	23.75 64.88981044817437	22.083647796503186 0.12227782364297757	0.27603490594132485
14	8 0.4533333333333333	0.4027777777777778 0.8016666666666666	0.7083333333333334 0.19833333333333333	0.2916666666666667 19.428571428571427	18.125 33.30747296181505	19.127450823358558 34.357142857142854	31.875 48.82125875192536	30.390942318394803 0.05194251368647986	0.023380409006443014
8	9 0.455	0.4527777777777778 0.8133333333333334	0.7694444444444445 0.18666666666666668	0.23055555555555557 34.125	18.11111111111111 48.25307632680014	25.8647956558908 61.0	30.77777777777778 76.32496315099013	35.810544002128694 -0.03333647936792486	0.1644789900284723
10	9 0.43833333333333335	0.3972222222222222 0.8116666666666666	0.7388888888888889 0.18833333333333332	0.2611111111111111 26.3	15.88888888888889 31.9845275094068	15.139678878470635 48.7	29.555555555555557 50.245497310704366	22.051007087664882 0.18673923968415368	0.33266656480403417
9	6 0.48	0.4527777777777778 0.8616666666666667	0.7277777777777777 0.13833333333333334	0.2722222222222222 32.0	27.166666666666668 50.48432099837203	19.54837304966551 57.44444444444444	43.666666666666664 82.25044560650804	27.15183644290423 -0.004677813074437095	0.439734352293033
10	7 0.4766666666666667	0.4222222222222222 0.855	0.7027777777777777 0.145	0.2972222222222222 28.6	21.714285714285715 32.6441418940673	29.927122365192822 51.3	36.142857142857146 53.21099510439548	41.69422218084067 0.01348324256665923	0.24442137378575735
