# /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/CVs/DBSCANanalysisSystem.py --model /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/DAPC/2/323K/2DAPC.psf --traj /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/DAPC/2/323K/fixed_2DAPC_100.dcd --lipid_list /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/DAPC/lipidList_NO_CHOL.dat --r /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/DAPC/323K/avgRcutoff_NO_CHOL.dat
# System consisting of species :	 DPPC	DAPC
# Cluster-count	Core lipid to total lipid	        Cluster lipids to total lipids	        Outlier lipids to total lipids	        Silhouette Coefficent for lipid species
31 0.12395833333333334 0.43125 0.56875 0.469168442823686	0.5450706482610534
13 0.51875 0.921875 0.078125 0.015152336374056972	0.41372660088528945
4 0.63125 0.9260416666666667 0.07395833333333333 2	2
4 0.65625 0.9541666666666667 0.04583333333333333 2	2
5 0.671875 0.9541666666666667 0.04583333333333333 0.17862174369742592	2
5 0.7041666666666667 0.9614583333333333 0.03854166666666667 0.1224316313333529	2
5 0.7052083333333333 0.9604166666666667 0.03958333333333333 0.15041558664290633	2
4 0.7333333333333333 0.9708333333333333 0.029166666666666667 2	2
5 0.6791666666666667 0.9479166666666666 0.052083333333333336 0.13921879673258988	2
4 0.7291666666666666 0.965625 0.034375 2	2
5 0.7322916666666667 0.9677083333333333 0.03229166666666667 0.13407082615708238	2
4 0.684375 0.9395833333333333 0.06041666666666667 2	2
4 0.6979166666666666 0.9583333333333334 0.041666666666666664 2	2
4 0.7208333333333333 0.9614583333333333 0.03854166666666667 2	2
4 0.7041666666666667 0.9625 0.0375 2	2
4 0.6927083333333334 0.9697916666666667 0.030208333333333334 2	2
4 0.6864583333333333 0.9583333333333334 0.041666666666666664 2	2
5 0.6916666666666667 0.9510416666666667 0.04895833333333333 0.13605479511562893	2
4 0.7177083333333333 0.9614583333333333 0.03854166666666667 2	2
4 0.6864583333333333 0.9583333333333334 0.041666666666666664 2	2
4 0.7260416666666667 0.9614583333333333 0.03854166666666667 2	2
4 0.70625 0.959375 0.040625 2	2
4 0.7041666666666667 0.96875 0.03125 2	2
4 0.6770833333333334 0.94375 0.05625 2	2
4 0.6854166666666667 0.9489583333333333 0.051041666666666666 2	2
4 0.6822916666666666 0.9510416666666667 0.04895833333333333 2	2
4 0.7208333333333333 0.9677083333333333 0.03229166666666667 2	2
5 0.6666666666666666 0.9416666666666667 0.058333333333333334 0.08555517029346908	2
4 0.678125 0.9510416666666667 0.04895833333333333 2	2
4 0.7125 0.9645833333333333 0.035416666666666666 2	2
4 0.6708333333333333 0.9395833333333333 0.06041666666666667 2	2
4 0.7322916666666667 0.9770833333333333 0.022916666666666665 2	2
4 0.7114583333333333 0.9666666666666667 0.03333333333333333 2	2
4 0.6916666666666667 0.9604166666666667 0.03958333333333333 2	2
4 0.7125 0.9541666666666667 0.04583333333333333 2	2
4 0.6958333333333333 0.9354166666666667 0.06458333333333334 2	2
4 0.725 0.9708333333333333 0.029166666666666667 2	2
4 0.665625 0.9552083333333333 0.04479166666666667 2	2
4 0.6916666666666667 0.9583333333333334 0.041666666666666664 2	2
4 0.703125 0.9614583333333333 0.03854166666666667 2	2
4 0.7083333333333334 0.965625 0.034375 2	2
4 0.665625 0.9458333333333333 0.05416666666666667 2	2
4 0.6927083333333334 0.9625 0.0375 2	2
4 0.734375 0.9645833333333333 0.035416666666666666 2	2
4 0.6989583333333333 0.959375 0.040625 2	2
4 0.675 0.953125 0.046875 2	2
4 0.6979166666666666 0.9479166666666666 0.052083333333333336 2	2
4 0.690625 0.9489583333333333 0.051041666666666666 2	2
4 0.715625 0.9572916666666667 0.042708333333333334 2	2
4 0.6770833333333334 0.9520833333333333 0.04791666666666667 2	2
4 0.6864583333333333 0.9447916666666667 0.05520833333333333 2	2
4 0.7104166666666667 0.9697916666666667 0.030208333333333334 2	2
5 0.6916666666666667 0.96875 0.03125 0.08046157325856186	2
5 0.6885416666666667 0.9510416666666667 0.04895833333333333 0.07983799096746814	2
4 0.69375 0.9666666666666667 0.03333333333333333 2	2
4 0.6625 0.9302083333333333 0.06979166666666667 2	2
4 0.6927083333333334 0.946875 0.053125 2	2
4 0.7083333333333334 0.975 0.025 2	2
4 0.7416666666666667 0.975 0.025 2	2
5 0.671875 0.95 0.05 0.10877321411666996	2
5 0.6864583333333333 0.9572916666666667 0.042708333333333334 0.103628004576276	2
4 0.69375 0.9583333333333334 0.041666666666666664 2	2
4 0.671875 0.940625 0.059375 2	2
4 0.6947916666666667 0.9520833333333333 0.04791666666666667 2	2
5 0.6510416666666666 0.9458333333333333 0.05416666666666667 0.036483170329309235	2
4 0.7 0.953125 0.046875 2	2
4 0.7020833333333333 0.9614583333333333 0.03854166666666667 2	2
4 0.70625 0.9645833333333333 0.035416666666666666 2	2
4 0.725 0.9697916666666667 0.030208333333333334 2	2
4 0.7125 0.9604166666666667 0.03958333333333333 2	2
4 0.7083333333333334 0.9708333333333333 0.029166666666666667 2	2
4 0.7395833333333334 0.98125 0.01875 2	2
6 0.690625 0.9604166666666667 0.03958333333333333 -0.040599385295857826	2
4 0.6583333333333333 0.9416666666666667 0.058333333333333334 2	2
