# /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/CVs/DBSCANanalysisSpecies.py --model /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/DIPC/2/450K/2DIPC.psf --traj /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/DIPC/2/450K/fixed_2DIPC_100.dcd --lipid_list /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/DIPC/lipidList_NO_CHOL.dat --r /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/DIPC/450K/avgRcutoff_NO_CHOL.dat
# Individual Species Contribution :	 DPPC-DPPC	DIPC-DIPC
# Cluster-count	Core to Total Lipids	Cluster lipids to        Total Lipids	Outliers To Total Lipids	Mean Core lipids per cluster        	STD Core lipids per cluster	 Mean lipids per cluster	 STD lipids         per cluster	 Silhouette Coefficent
24	3 0.14009661835748793	0.005555555555555556 0.4142512077294686	0.03888888888888889 0.5857487922705314	0.9611111111111111 4.833333333333333	1.0 4.459696053419884	0.0 14.291666666666666	7.0 8.848159727059382	0.0 0.4038508952881276	0.8393559860110414
25	3 0.14855072463768115	0.005555555555555556 0.47101449275362317	0.03888888888888889 0.5289855072463768	0.9611111111111111 4.92	1.0 5.425274186619511	0.0 15.6	7.0 12.149074038789951	0.0 0.36466882024897296	0.7828645529336864
25	2 0.11714975845410629	0.005555555555555556 0.3961352657004831	0.03333333333333333 0.6038647342995169	0.9666666666666667 3.88	1.0 3.592436499090833	0.816496580927726 13.12	6.0 7.46897583340581	4.546060565661952 0.4955535964975062	-2
25	4 0.15458937198067632	0.007407407407407408 0.44565217391304346	0.05185185185185185 0.5543478260869565	0.9481481481481482 5.12	1.0 4.760840261970569	0.0 14.76	7.0 8.439336466808276	0.0 0.4474429640529016	0.7695802942801178
30	3 0.11473429951690821	0.007407407407407408 0.41545893719806765	0.04259259259259259 0.5845410628019324	0.9574074074074074 3.1666666666666665	1.0 2.608745973749755	0.7071067811865476 11.466666666666667	5.75 5.377318621353542	3.418698582794336 0.456492641346479	-2
33	3 0.13285024154589373	0.014814814814814815 0.4577294685990338	0.05555555555555555 0.5422705314009661	0.9444444444444444 3.3333333333333335	2.0 2.3952815570144854	2.345207879911715 11.484848484848484	7.5 5.009815892832137	5.678908345800274 0.45982761631539093	-2
29	1 0.14492753623188406	0.001851851851851852 0.47342995169082125	0.012962962962962963 0.5265700483091788	0.987037037037037 4.137931034482759	0.5 5.224109479836036	0.5 13.517241379310345	3.5 10.087960354509221	3.5 0.35682946268782534	-2
28	4 0.0893719806763285	0.007407407407407408 0.37318840579710144	0.05185185185185185 0.6268115942028986	0.9481481481481482 2.642857142857143	1.0 2.12492496866336	0.0 11.035714285714286	7.0 5.074320101234837	0.0 0.5228194550864123	0.8837014481444788
28	2 0.1388888888888889	0.003703703703703704 0.45652173913043476	0.025925925925925925 0.5434782608695652	0.9740740740740741 4.107142857142857	0.6666666666666666 4.514573905809983	0.4714045207910317 13.5	4.666666666666667 9.686146218771869	3.299831645537222 0.38664155333932204	-2
27	3 0.13647342995169082	0.005555555555555556 0.4227053140096618	0.03888888888888889 0.5772946859903382	0.9611111111111111 4.185185185185185	1.0 3.5069986855602417	0.0 12.962962962962964	7.0 6.790415257478635	0.0 0.4869236035019092	0.8446620780753115
