# /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/CVs/DBSCANanalysisSpecies.py --model /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/DIPC/3/423K/3DIPC.psf --traj /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/DIPC/3/423K/fixed_3DIPC_100.dcd --lipid_list /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/DIPC/lipidList.dat --r /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/DIPC/423K/avgRcutoff.dat
# Individual Species Contribution :	 DPPC-DPPC	DIPC-DIPC	CHOL-CHOL
# Cluster-count	Core to Total Lipids	Cluster lipids to        Total Lipids	Outliers To Total Lipids	Mean Core lipids per cluster        	STD Core lipids per cluster	 Mean lipids per cluster	 STD lipids         per cluster	 Silhouette Coefficent
22	14	4 0.2318840579710145	0.06296296296296296	0.008680555555555556 0.5833333333333334	0.2518518518518518	0.052083333333333336 0.4166666666666667	0.7481481481481481	0.9479166666666666 8.727272727272727	2.4285714285714284	1.25 9.724298610752056	2.226922466874271	0.4330127018922193 21.954545454545453	9.714285714285714	7.5 19.029826523661775	3.899241161130337	0.8660254037844386 0.3296037580461972	0.5494072931987716	0.7776469872165344
27	11	6 0.15579710144927536	0.044444444444444446	0.020833333333333332 0.4806763285024155	0.20185185185185187	0.08506944444444445 0.5193236714975845	0.7981481481481482	0.9149305555555556 4.777777777777778	2.1818181818181817	2.0 5.431958471813474	1.9917183909278768	1.0 14.74074074074074	9.909090909090908	8.166666666666666 10.064946845704586	3.4497574474564137	0.8975274678557508 0.3888344511254356	0.6731774192385623	0.8243821411519328
28	8	6 0.15096618357487923	0.025925925925925925	0.019097222222222224 0.46256038647342995	0.12777777777777777	0.09722222222222222 0.5374396135265701	0.8722222222222222	0.9027777777777778 4.464285714285714	1.75	1.8333333333333333 4.829094434904383	0.9682458365518543	1.2133516482134197 13.678571428571429	8.625	9.333333333333334 8.904467463937781	1.9324531042175384	2.9814239699997196 0.43802855628971876	0.6198721005450596	0.6914434089749268
26	15	6 0.18719806763285024	0.04814814814814815	0.024305555555555556 0.5181159420289855	0.2388888888888889	0.1076388888888889 0.48188405797101447	0.7611111111111111	0.8923611111111112 5.961538461538462	1.7333333333333334	2.3333333333333335 7.05735170001832	1.339983416149452	0.9428090415820634 16.5	8.6	10.333333333333334 14.406862680948004	2.602562839459085	2.748737083745107 0.31085010046154815	0.6627050822367853	0.7351025020702809
29	14	9 0.19444444444444445	0.06111111111111111	0.027777777777777776 0.5615942028985508	0.24444444444444444	0.13020833333333334 0.4384057971014493	0.7555555555555555	0.8697916666666666 5.551724137931035	2.357142857142857	1.7777777777777777 3.7745628374098223	1.630387458644761	0.9162456945817024 16.03448275862069	9.428571428571429	8.333333333333334 7.823407664891435	3.133101742780187	1.632993161855452 0.44926398804890205	0.6050587245182107	0.5816593044056773
35	11	5 0.16183574879227053	0.06481481481481481	0.020833333333333332 0.5217391304347826	0.21481481481481482	0.08680555555555555 0.4782608695652174	0.7851851851851852	0.9131944444444444 3.8285714285714287	3.1818181818181817	2.4 3.056475227500876	3.297883117675828	1.2000000000000002 12.342857142857143	10.545454545454545	10.0 5.980649067225573	5.314878538997624	2.5298221281347035 0.4476507408975981	0.5630525956715958	0.6466879356826628
31	14	8 0.1642512077294686	0.06296296296296296	0.03125 0.5108695652173914	0.2574074074074074	0.13541666666666666 0.4891304347826087	0.7425925925925926	0.8645833333333334 4.387096774193548	2.4285714285714284	2.25 5.084304877503802	1.2371791482634837	1.1989578808281798 13.64516129032258	9.928571428571429	9.75 10.2471030905412	2.0861545523586047	2.165063509461097 0.3606842857693873	0.6034995105234074	0.7106744345706597
32	10	5 0.14371980676328502	0.06481481481481481	0.015625 0.4915458937198068	0.2074074074074074	0.06770833333333333 0.5084541062801933	0.7925925925925926	0.9322916666666666 3.71875	3.5	1.8 3.365582926849374	3.383784863137726	1.1661903789690602 12.71875	11.2	7.8 7.542522683923463	6.257795138864806	1.6 0.44404816992958707	0.6501564786502834	0.6978428879279381
27	8	7 0.12681159420289856	0.03518518518518519	0.026041666666666668 0.4082125603864734	0.1425925925925926	0.11631944444444445 0.5917874396135265	0.8574074074074074	0.8836805555555556 3.888888888888889	2.375	2.142857142857143 3.7350525142159134	2.2325713874364688	1.6413036132965795 12.518518518518519	9.625	9.571428571428571 6.545399121296154	3.461845606031557	3.2888184094918107 0.41489159288043304	0.7433117563722282	0.7371050817853194
31	7	5 0.15217391304347827	0.03333333333333333	0.008680555555555556 0.4867149758454106	0.13148148148148148	0.06076388888888889 0.5132850241545893	0.8685185185185185	0.9392361111111112 4.064516129032258	2.5714285714285716	1.0 4.079338054074126	1.178030178747903	0.0 13.0	10.142857142857142	7.0 8.139905682262482	2.641891715558133	0.0 0.4171916867889347	0.7598370937000434	0.8524207218920955
30	15	7 0.18115942028985507	0.044444444444444446	0.015625 0.5434782608695652	0.2351851851851852	0.09722222222222222 0.45652173913043476	0.7648148148148148	0.9027777777777778 5.0	1.6	1.2857142857142858 5.761944116355173	1.083205120618128	0.6998542122237652 15.0	8.466666666666667	8.0 11.138521745126983	2.578543947441829	2.449489742783178 0.2945631358271653	0.5935115059591219	0.7128673122656745
