# /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/CVs/DBSCANanalysisSpecies.py --model /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/DAPC/3/323K/3DAPC.psf --traj /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/DAPC/3/323K/fixed_3DAPC_100.dcd --lipid_list /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/DAPC/lipidList_NO_CHOL.dat --r /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/DAPC/323K/avgRcutoff_NO_CHOL.dat
# Individual Species Contribution :	 DPPC-DPPC	DAPC-DAPC
# Cluster-count	Core to Total Lipids	Cluster lipids to        Total Lipids	Outliers To Total Lipids	Mean Core lipids per cluster        	STD Core lipids per cluster	 Mean lipids per cluster	 STD lipids         per cluster	 Silhouette Coefficent
22	11 0.16166666666666665	0.20277777777777778 0.49833333333333335	0.5388888888888889 0.5016666666666667	0.46111111111111114 4.409090909090909	6.636363636363637 6.732952148062481	7.807603837666869 13.590909090909092	17.636363636363637 13.69359203459477	12.808184366913972 0.2181773681728435	0.37117213832298523
3	4 0.5516666666666666	0.5833333333333334 0.895	0.9111111111111111 0.105	0.08888888888888889 110.33333333333333	52.5 63.294725074228914	42.857321428199405 179.0	82.0 102.15021618511958	61.094189576423716 0.2669489298066673	0.1400813641669214
4	4 0.5866666666666667	0.6222222222222222 0.9533333333333334	0.9305555555555556 0.04666666666666667	0.06944444444444445 88.0	56.0 85.71172615225994	54.300092080953235 143.0	83.75 135.22388842212754	74.08567675333741 -0.062472051620900984	0.22001382519027596
3	5 0.5833333333333334	0.675 0.955	0.9305555555555556 0.045	0.06944444444444445 116.66666666666667	48.6 68.87831460062174	57.90544015893498 191.0	67.0 103.69185117452577	71.9944442300932 0.12656640379052878	0.2414374513778622
2	3 0.5833333333333334	0.6805555555555556 0.9433333333333334	0.9333333333333333 0.056666666666666664	0.06666666666666667 175.0	81.66666666666667 3.0	54.932281543328926 283.0	112.0 3.0	70.8801805866774 2	0.324529122382651
2	2 0.6266666666666667	0.725 0.9616666666666667	0.9472222222222222 0.03833333333333333	0.05277777777777778 188.0	130.5 4.0	2.5 288.5	170.5 3.5	2.5 2	2
4	2 0.5733333333333334	0.65 0.935	0.8888888888888888 0.065	0.1111111111111111 86.0	117.0 81.53833454271678	6.0 140.25	160.0 125.40609036247004	5.0 0.06881446330867177	2
3	2 0.5433333333333333	0.7305555555555555 0.93	0.9388888888888889 0.07	0.06111111111111111 108.66666666666667	131.5 74.90586685226256	5.5 186.0	169.0 125.90737336100165	4.0 0.10240014547487013	2
3	2 0.5866666666666667	0.7333333333333333 0.9183333333333333	0.9361111111111111 0.08166666666666667	0.06388888888888888 117.33333333333333	132.0 78.25741001478532	2.0 183.66666666666666	168.5 117.91616607667595	1.5 0.22104704703597408	2
2	2 0.6033333333333334	0.7083333333333334 0.9383333333333334	0.9555555555555556 0.06166666666666667	0.044444444444444446 181.0	127.5 5.0	1.5 281.5	172.0 4.5	1.0 2	2
2	2 0.6016666666666667	0.6805555555555556 0.9516666666666667	0.9444444444444444 0.04833333333333333	0.05555555555555555 180.5	122.5 2.5	14.5 285.5	170.0 0.5	8.0 2	2
3	2 0.6183333333333333	0.7416666666666667 0.9533333333333334	0.9611111111111111 0.04666666666666667	0.03888888888888889 123.66666666666667	133.5 83.49184923625113	0.5 190.66666666666666	173.0 124.96488395634279	0.0 0.05668638823183318	2
2	2 0.63	0.7444444444444445 0.9633333333333334	0.9666666666666667 0.03666666666666667	0.03333333333333333 189.0	134.0 2.0	2.0 289.0	174.0 2.0	2.0 2	2
3	2 0.575	0.7277777777777777 0.9233333333333333	0.9361111111111111 0.07666666666666666	0.06388888888888888 115.0	131.0 78.95568377260753	3.0 184.66666666666666	168.5 121.44225879907795	2.5 0.14543051785878466	2
3	2 0.645	0.7472222222222222 0.9566666666666667	0.9777777777777777 0.043333333333333335	0.022222222222222223 129.0	134.5 90.5243981845042	2.5 191.33333333333334	176.0 129.63624321753372	0.0 0.14317810467679484	2
3	2 0.6416666666666667	0.8138888888888889 0.95	0.9722222222222222 0.05	0.027777777777777776 128.33333333333334	146.5 88.71803023562285	0.5 190.0	175.0 128.7581712617365	1.0 0.12292991424015554	2
2	2 0.6266666666666667	0.7472222222222222 0.93	0.9611111111111111 0.07	0.03888888888888889 188.0	134.5 0.0	5.5 279.0	173.0 1.0	1.0 2	2
2	2 0.6516666666666666	0.7694444444444445 0.9533333333333334	0.975 0.04666666666666667	0.025 195.5	138.5 10.5	4.5 286.0	175.5 4.0	3.5 2	2
2	2 0.645	0.7416666666666667 0.935	0.9583333333333334 0.065	0.041666666666666664 193.5	133.5 2.5	2.5 280.5	172.5 4.5	0.5 2	2
2	2 0.6683333333333333	0.7805555555555556 0.9583333333333334	0.9694444444444444 0.041666666666666664	0.030555555555555555 200.5	140.5 0.5	3.5 287.5	174.5 0.5	2.5 2	2
2	2 0.645	0.7555555555555555 0.9583333333333334	0.9666666666666667 0.041666666666666664	0.03333333333333333 193.5	136.0 5.5	2.0 287.5	174.0 2.5	5.0 2	2
2	2 0.64	0.7777777777777778 0.9433333333333334	0.9722222222222222 0.056666666666666664	0.027777777777777776 192.0	140.0 5.0	2.0 283.0	175.0 3.0	2.0 2	2
