# /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/CVs/binaryShannonEntropy.py --model /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/POPC/1/323K/1POPC.psf --traj /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/POPC/1/323K/fixed_1POPC_100.dcd --lipid_list /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/POPC/lipidList_NO_CHOL.dat --r /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/POPC/323K/avgRcutoff_NO_CHOL.dat
# radius	12.5
# Avg Binary Entropy	Upper Leaflet BSE         	Lower Leaflet BSE	likeUp	likeLo	unlikeUp        	unlikeLo
282.6099902138716 	 281.51898018156965 	 283.70100024617346 	 139.3107485217944 	 143.09232212882773 	 142.20823165977524 	 140.60867811734573
285.3726567543929 	 283.47533026235783 	 287.26998324642796 	 140.41845877135407 	 143.24546794980918 	 143.05687149100373 	 144.02451529661877
284.26263462584814 	 276.8296824078939 	 291.6955868438023 	 135.6954382052384 	 146.35280607564604 	 141.13424420265554 	 145.34278076815625
284.5115074471662 	 279.82273552162496 	 289.20027937270737 	 136.96734045184402 	 145.12066586583674 	 142.8553950697809 	 144.07961350687063
283.02629188000935 	 280.79425590489853 	 285.2583278551202 	 138.5115213870611 	 141.3409787253593 	 142.28273451783744 	 143.9173491297609
285.00290621274155 	 284.7319843078408 	 285.2738281176424 	 142.1858461021176 	 142.9014232862701 	 142.5461382057232 	 142.37240483137228
289.7409667841889 	 291.12058486973615 	 288.3613486986416 	 146.07258525832438 	 144.04859610377108 	 145.04799961141177 	 144.31275259487055
287.1749080888309 	 284.2254880341196 	 290.12432814354213 	 143.17013378526886 	 145.61063124443092 	 141.05535424885076 	 144.51369689911118
290.3197879002141 	 290.72255858736094 	 289.91701721306737 	 146.38631330228566 	 144.9609585659722 	 144.33624528507525 	 144.95605864709518
289.85530922841986 	 286.8401306449143 	 292.8704878119254 	 142.06018202905503 	 147.7617427690671 	 144.77994861585933 	 145.1087450428583
282.1642877859919 	 287.99079579517513 	 276.3377797768087 	 142.36031737264625 	 136.07966549992372 	 145.63047842252885 	 140.258114276885
290.9492969136069 	 292.1573624941825 	 289.7412313330313 	 145.15638123904822 	 144.9146882525612 	 147.00098125513426 	 144.8265430804701
293.79395316110754 	 292.6650509577303 	 294.9228553644848 	 148.05833744008078 	 148.33733941256327 	 144.6067135176495 	 146.58551595192156
292.4665420157561 	 295.5174415408427 	 289.4156424906695 	 150.46477715282074 	 147.2664918893975 	 145.05266438802198 	 142.14915060127194
287.6715690783281 	 288.9142808308476 	 286.4288573258086 	 145.84068614569756 	 144.62973245601827 	 143.07359468515 	 141.79912486979038
290.86045440250314 	 296.62177166809744 	 285.09913713690884 	 149.66195408530038 	 140.3463658955958 	 146.95981758279706 	 144.75277124131304
288.525681501288 	 291.2078314384754 	 285.84353156410054 	 146.42778813109743 	 143.7494802331865 	 144.78004330737798 	 142.09405133091403
281.45422354507673 	 281.35755704055805 	 281.5508900495954 	 140.05264103395183 	 141.23071142553718 	 141.30491600660625 	 140.32017862405826
286.44069946073296 	 284.4442162455174 	 288.4371826759485 	 140.92478652247024 	 144.4146901879556 	 143.51942972304712 	 144.0224924879929
290.87775489725055 	 291.86590531443665 	 289.88960448006446 	 145.09327293739148 	 146.54464020951488 	 146.77263237704514 	 143.34496427054955
285.30440416398136 	 290.035216861775 	 280.57359146618774 	 144.5850819813861 	 139.12633676865877 	 145.45013488038887 	 141.44725469752893
286.8752827606603 	 284.3298704918213 	 289.42069502949926 	 142.73945743224095 	 145.08291545137013 	 141.59041305958033 	 144.3377795781291
