# /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/CVs/binaryShannonEntropy.py --model /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/POPC/1/323K/1POPC.psf --traj /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/POPC/1/323K/fixed_1POPC_100.dcd --lipid_list /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/POPC/lipidList.dat --r /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/POPC/323K/avgRcutoff.dat
# radius	14.5
# Avg Binary Entropy	Upper Leaflet BSE         	Lower Leaflet BSE	likeUp	likeLo	unlikeUp        	unlikeLo
344.0026032592385 	 347.6151490604493 	 340.39005745802774 	 194.38375468544237 	 189.81801940541007 	 153.23139437500697 	 150.57203805261764
346.4531417582798 	 351.60970373965245 	 341.29657977690715 	 195.67984728488767 	 190.54833117527852 	 155.92985645476477 	 150.74824860162866
345.8849463637514 	 342.149209814529 	 349.6206829129738 	 188.57118590546688 	 196.0879741927473 	 153.57802390906213 	 153.53270872022648
347.4711844582977 	 344.5325917677602 	 350.40977714883525 	 188.7019414786113 	 196.89235309376403 	 155.8306502891489 	 153.51742405507122
347.4780555712241 	 354.5477024896515 	 340.40840865279677 	 197.2091217512653 	 187.9188499255998 	 157.3385807383862 	 152.489558727197
344.9919725144579 	 341.62373340488676 	 348.3602116240291 	 189.96142187013632 	 194.71729348097594 	 151.66231153475044 	 153.64291814305315
350.47046420532826 	 350.32956652134305 	 350.61136188931346 	 195.4674181972936 	 195.44449232610484 	 154.86214832404949 	 155.16686956320862
346.77914213997013 	 342.99702828144837 	 350.5612559984919 	 190.60925258580266 	 197.11942053998152 	 152.38777569564573 	 153.44183545851038
345.80246120426057 	 345.91479075213476 	 345.69013165638637 	 193.25572712760678 	 193.59738847871856 	 152.65906362452802 	 152.09274317766778
348.9466129506468 	 351.5427429349182 	 346.35048296637535 	 196.83285942256464 	 193.7000076821898 	 154.70988351235354 	 152.65047528418555
348.5083049719503 	 355.3493927724393 	 341.6672171714613 	 198.01159698039865 	 188.09224391666913 	 157.3377957920406 	 153.57497325479218
351.31818039133293 	 345.99104174740575 	 356.6453190352602 	 192.26985003307803 	 200.267603199887 	 153.72119171432772 	 156.37771583537318
348.7972559756651 	 348.10828759767037 	 349.48622435365985 	 194.93981808565584 	 195.84069355178647 	 153.16846951201452 	 153.64553080187335
349.44084646979064 	 351.52528466461285 	 347.35640827496843 	 197.74470892579842 	 195.0517717162114 	 153.78057573881446 	 152.30463655875704
346.2391860431295 	 351.3555427724058 	 341.12282931385323 	 197.66518537359158 	 189.79237077294556 	 153.69035739881417 	 151.33045854090767
350.7240777142659 	 349.541036866945 	 351.9071185615868 	 196.9330099396606 	 194.2752068892964 	 152.60802692728436 	 157.6319116722904
345.37925011176884 	 349.2608598223376 	 341.4976404012001 	 196.81448409086738 	 189.43377075524333 	 152.44637573147017 	 152.06386964595674
348.9975213461968 	 353.5949290631912 	 344.40011362920234 	 195.66744210768363 	 189.71326804235082 	 157.92748695550762 	 154.68684558685155
349.0114627342039 	 348.62595048772096 	 349.3969749806869 	 192.63277381614822 	 194.9402719048045 	 155.99317667157277 	 154.4567030758824
349.34233254598956 	 349.3587324623586 	 349.3259326296205 	 196.05127503703733 	 194.6597888503934 	 153.30745742532125 	 154.66614377922716
344.6601226203986 	 346.71803846415895 	 342.60220677663835 	 193.43716805350076 	 189.80167412279272 	 153.2808704106582 	 152.8005326538456
346.2455789719141 	 351.64384265904926 	 340.8473152847789 	 197.67265714179914 	 189.45111085725682 	 153.97118551725012 	 151.39620442752212
347.0532352115054 	 346.25553392468055 	 347.85093649833027 	 191.9761388638136 	 194.24198924287597 	 154.279395060867 	 153.6089472554543
350.31326882852375 	 349.99842689563513 	 350.6281107614124 	 195.33119014582547 	 193.75097105722867 	 154.6672367498097 	 156.87713970418375
347.6646316950818 	 347.43711587537314 	 347.8921475147905 	 193.52075589492654 	 192.13941301594573 	 153.91635998044657 	 155.75273449884477
349.63415778795263 	 348.76322720539736 	 350.5050883705079 	 195.197053605149 	 193.73910724532257 	 153.5661736002484 	 156.7659811251853
345.4576932997111 	 348.4692507251565 	 342.4461358742657 	 195.44925471004825 	 188.98012414105776 	 153.01999601510823 	 153.46601173320792
347.5013755728178 	 348.370983920113 	 346.6317672255226 	 194.1484623217599 	 193.97320189932537 	 154.22252159835313 	 152.65856532619725
348.74368702499413 	 349.08436860494515 	 348.4030054450431 	 194.1156290521198 	 195.44901944420326 	 154.96873955282535 	 152.95398600083985
348.2200278769468 	 348.82110783009847 	 347.6189479237951 	 194.52437541617786 	 191.9048586963575 	 154.2967324139206 	 155.71408922743754
347.3431094371839 	 347.6850933547746 	 347.0011255195932 	 193.3204932435347 	 192.73463104627783 	 154.36460011123992 	 154.2664944733154
347.77256444335455 	 352.5006909414755 	 343.0444379452336 	 197.1085646175306 	 191.6752405839947 	 155.39212632394492 	 151.3691973612389
350.39800539561355 	 352.267902894607 	 348.5281078966201 	 197.16700107389494 	 194.51115551688292 	 155.1009018207121 	 154.01695237973715
351.4450236758089 	 349.3173155913394 	 353.57273176027843 	 195.9255757594163 	 197.82464138041013 	 153.39173983192313 	 155.74809037986833
345.9243456516103 	 346.8256702789714 	 345.02302102424915 	 195.2225254651576 	 193.01526844644292 	 151.6031448138138 	 152.0077525778062
351.5126342412817 	 354.6453073678078 	 348.3799611147557 	 196.86354690024416 	 191.8348242276359 	 157.78176046756363 	 156.54513688711978
345.9784602955142 	 351.3635233154365 	 340.59339727559194 	 196.0199115288053 	 190.1031821598438 	 155.34361178663124 	 150.49021511574813
347.16316815481946 	 348.44260071528674 	 345.88373559435223 	 193.26564156035496 	 192.26396104377176 	 155.1769591549318 	 153.61977455058047
349.5879669362142 	 340.7838832931985 	 358.3920505792298 	 188.0296046030604 	 200.29382348051632 	 152.75427869013814 	 158.09822709871347
347.13931830789653 	 349.3319225820504 	 344.94671403374264 	 195.21535855158874 	 191.8584709504659 	 154.11656403046172 	 153.08824308327672
348.17921338179235 	 343.8438250695866 	 352.51460169399803 	 192.69607511239846 	 199.7985792078853 	 151.14774995718815 	 152.71602248611273
347.0909051260186 	 348.8271206377801 	 345.35468961425704 	 196.2993230439414 	 192.1290315682738 	 152.52779759383876 	 153.22565804598327
348.38736004480387 	 356.4792450345715 	 340.29547505503626 	 198.96670654872372 	 189.31223576111853 	 157.51253848584776 	 150.9832392939177
343.92845902858176 	 337.15024593282135 	 350.70667212434216 	 186.28919086937324 	 198.38908794543462 	 150.86105506344808 	 152.31758417890754
344.3979394936416 	 348.3036738874054 	 340.49220509987776 	 194.72159656696527 	 189.2568615809212 	 153.58207732044013 	 151.23534351895654
347.6516453837207 	 344.2353185928347 	 351.06797217460667 	 193.31480443969787 	 196.53162245660454 	 150.92051415313685 	 154.53634971800216
347.9632575766159 	 349.5798578739839 	 346.3466572792479 	 194.95075064587687 	 192.69938504626464 	 154.62910722810702 	 153.64727223298325
348.4252815141543 	 348.7619866167612 	 348.08857641154736 	 196.63905459827347 	 193.99686577565848 	 152.12293201848775 	 154.09171063588892
348.20858382321654 	 346.4315600897311 	 349.985607556702 	 192.34273515837833 	 194.0578129175756 	 154.08882493135278 	 155.9277946391264
346.3482801204468 	 345.21893367485904 	 347.47762656603464 	 194.32343042596025 	 195.2610498408253 	 150.89550324889876 	 152.21657672520934
346.95256583963203 	 349.66976008232143 	 344.2353715969426 	 193.67500327011902 	 191.16926374558062 	 155.9947568122024 	 153.06610785136198
346.5673968315243 	 345.6257915259517 	 347.509002137097 	 191.6444513201538 	 195.05583420566074 	 153.9813402057979 	 152.45316793143624
348.88594936655375 	 344.78923134029503 	 352.9826673928124 	 189.60531754720142 	 199.2010557535276 	 155.18391379309358 	 153.7816116392848
345.3329725118342 	 348.56175347214975 	 342.10419155151874 	 196.79031430184952 	 190.4675270448672 	 151.77143917030023 	 151.63666450665156
348.1178317173531 	 348.65378308290144 	 347.5818803518048 	 195.70605815009898 	 193.92404777201668 	 152.94772493280246 	 153.6578325797881
347.6270606544382 	 348.08855931905134 	 347.16556198982505 	 192.09137159060845 	 194.41490486607373 	 155.99718772844292 	 152.75065712375132
