# /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/CVs/cumulativeHardEnrichment.py --model /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/POPC/1/450K/1POPC.psf --traj /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/POPC/1/450K/fixed_1POPC_100.dcd --lipid_list /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/POPC/lipidList_NO_CHOL.dat --r /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/POPC/450K/avgRcutoff_NO_CHOL.dat
# cumEnrichmentAVG	DPPC-DPPC	POPC-POPC
2.3391398370894354 	 1.194222649006662	1.1449171880827735
2.3206304867175955 	 1.169297920751353	1.1513325659662426
2.3261994021943155 	 1.1622830083734637	1.1639163938208519
2.3429125355170326 	 1.1801687872504778	1.1627437482665546
2.3433586300996563 	 1.1948622044820947	1.1484964256175614
2.3548954018981325 	 1.169489679949886	1.1854057219482468
2.3243512376972437 	 1.1771424882916954	1.1472087494055483
2.3311434857156206 	 1.1935325366625658	1.137610949053055
2.3431104017874476 	 1.19107557842091	1.1520348233665376
2.3146696694769586 	 1.1668203028009771	1.1478493666759817
2.3470634727550834 	 1.1982002491151733	1.1488632236399101
2.3837578815182394 	 1.2252945117998646	1.1584633697183748
2.349200189252884 	 1.1958733965874508	1.1533267926654331
2.342972640000821 	 1.2044957746451896	1.138476865355631
2.2841275528701726 	 1.1578394457858403	1.126288107084332
2.308728510968223 	 1.1838003419691643	1.124928168999059
2.3630777175686433 	 1.2042083577060336	1.1588693598626099
2.3405960349603694 	 1.166133029132346	1.1744630058280232
2.4266775488941805 	 1.2351036434423317	1.191573905451849
2.4010102781257405 	 1.2265315576983022	1.1744787204274385
2.367986320225853 	 1.2086656408686205	1.1593206793572326
2.302622761012127 	 1.1632392369544409	1.1393835240576862
2.2875842477913846 	 1.1542485981764539	1.1333356496149305
2.3994516306367926 	 1.2159150908982923	1.1835365397385003
2.3596001886600826 	 1.1906903414358851	1.1689098472241972
2.374012542160597 	 1.2252839021583273	1.1487286400022696
2.3071165105246254 	 1.1733779012936862	1.1337386092309392
2.3197602865100873 	 1.1995202450333617	1.1202400414767253
2.280081185305639 	 1.1449915409070872	1.1350896443985516
2.356209647174712 	 1.2026864327908537	1.153523214383858
2.3350829364331984 	 1.1806906820893066	1.154392254343892
2.349589770934777 	 1.185371794423529	1.164217976511248
2.334733665309594 	 1.1918389082301206	1.1428947570794736
2.4028154177122754 	 1.1949962987250715	1.2078191189872038
2.2754104531178876 	 1.174715310668931	1.1006951424489566
2.325522919959877 	 1.1814591886802774	1.1440637312795996
2.357783640229586 	 1.189562732163628	1.1682209080659582
2.301433356539574 	 1.1520417615869956	1.1493915949525784
2.2827625527958393 	 1.1562395790007212	1.1265229737951183
2.3471042751964957 	 1.1892462824094092	1.1578579927870867
2.375319053652205 	 1.2024757150609955	1.1728433385912096
2.3880317726423996 	 1.2192734738710185	1.1687582987713812
2.3683167611349774 	 1.2021126478828772	1.1662041132521002
2.3883002817280756 	 1.2115918750516506	1.176708406676425
2.284147125565693 	 1.1365252375922665	1.1476218879734263
2.3707515729691355 	 1.232592783196571	1.1381587897725647
2.3746053138917933 	 1.2229768585127097	1.1516284553790834
2.350441592677913 	 1.1966342403608714	1.1538073523170418
2.2945680750084056 	 1.1752772897753334	1.119290785233072
2.3717709837917296 	 1.1992901430392449	1.172480840752485
2.358832559864437 	 1.1980279370471156	1.1608046228173212
2.266135729515409 	 1.1641572413413743	1.1019784881740349
2.285131974357962 	 1.1805185966195042	1.104613377738458
2.3422412716866274 	 1.1878086013321116	1.1544326703545156
2.354587250333851 	 1.2206363626099639	1.1339508877238869
2.315291794090631 	 1.1761934147278317	1.1390983793627991
2.3655905956840626 	 1.1891340395580259	1.1764565561260367
2.3478559946067934 	 1.1889305391673983	1.1589254554393953
2.42745570481956 	 1.2286225387709857	1.1988331660485745
2.3332914011862185 	 1.1679118557533354	1.1653795454328828
2.3338848585687977 	 1.1772541474632296	1.156630711105568
2.341459356795716 	 1.1978914889140384	1.1435678678816776
2.3224840669208584 	 1.1684860526453082	1.1539980142755502
2.360640228745827 	 1.2065720845053285	1.1540681442404983
2.3003998729929274 	 1.1694895681291846	1.130910304863743
2.3289086071135054 	 1.201427066740147	1.1274815403733587
2.372496105541858 	 1.2060982434520613	1.1663978620897963
2.3660631231917275 	 1.213509953170448	1.1525531700212794
2.2931608425345953 	 1.1637808605173972	1.1293799820171984
2.412261151304584 	 1.2410368713502304	1.1712242799543535
2.393645033765067 	 1.227419981748846	1.166225052016221
2.3523722203255804 	 1.2017121639589265	1.1506600563666538
2.3353555178455148 	 1.2012087746564049	1.1341467431891097
2.364590407325359 	 1.2267974111038507	1.1377929962215083
2.3734364426370353 	 1.2103850705540347	1.1630513720830007
2.3647067735865304 	 1.216058663039497	1.1486481105470334
2.3573679286381486 	 1.1692564511569754	1.1881114774811732
2.319918633989951 	 1.1785458081609548	1.1413728258289964
2.3761000895893503 	 1.2068513199225968	1.1692487696667535
2.3013017816188963 	 1.1506168451141936	1.1506849365047027
2.3196563007492097 	 1.1863256139801397	1.13333068676907
2.343567051027674 	 1.1793167174823243	1.1642503335453493
2.3146974030855727 	 1.1502006360912753	1.1644967669942972
2.3448229761638952 	 1.1878901710901104	1.1569328050737848
2.3422788763518767 	 1.160855466520365	1.181423409831512
2.373268101968506 	 1.1946830615811512	1.1785850403873548
2.35242209903159 	 1.1980751879726077	1.154346911058982
2.339880331122099 	 1.1890446627540983	1.1508356683680008
2.3124082372750747 	 1.1694127829039278	1.1429954543711467
2.3239633792534446 	 1.1952676950998118	1.1286956841536329
2.3406887972773864 	 1.1993569161482536	1.1413318811291329
2.3519220647469696 	 1.1950312986946345	1.156890766052335
2.457850789927353 	 1.2295104860012334	1.2283403039261196
