# /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/CVs/DBSCANanalysisSpecies.py --model /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/POPC/1/450K/1POPC.psf --traj /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/POPC/1/450K/fixed_1POPC_100.dcd --lipid_list /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/POPC/lipidList.dat --r /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/POPC/450K/avgRcutoff.dat
# Individual Species Contribution :	 DPPC-DPPC	POPC-POPC	CHOL-CHOL
# Cluster-count	Core to Total Lipids	Cluster lipids to        Total Lipids	Outliers To Total Lipids	Mean Core lipids per cluster        	STD Core lipids per cluster	 Mean lipids per cluster	 STD lipids         per cluster	 Silhouette Coefficent
8	17	0 0.020833333333333332	0.041666666666666664	0.0 0.125	0.26458333333333334	0.0 0.875	0.7354166666666667	1.0 1.25	1.1764705882352942	0.0 0.4330127018922193	0.3812200410828153	0.0 7.5	7.470588235294118	0.0 0.7071067811865476	1.0356951095093534	0.0 0.6230787362315153	0.6015854639601566	-2
1	4	0 0.0020833333333333333	0.020833333333333332	0.0 0.014583333333333334	0.07708333333333334	0.0 0.9854166666666667	0.9229166666666667	1.0 0.5	2.5	0.0 0.5	2.0615528128088303	0.0 3.5	9.25	0.0 3.5	2.8613807855648994	0.0 -2	0.7670156119524744	-2
1	5	2 0.0020833333333333333	0.022916666666666665	0.020833333333333332 0.014583333333333334	0.10625	0.07083333333333333 0.9854166666666667	0.89375	0.9291666666666667 0.5	2.2	1.6666666666666667 0.5	0.7483314773547882	1.699673171197595 3.5	10.2	5.666666666666667 3.5	1.9390719429665317	4.189935029992179 -2	0.7376530702699081	-2
3	9	1 0.008333333333333333	0.03125	0.004166666666666667 0.04791666666666667	0.15416666666666667	0.029166666666666667 0.9520833333333333	0.8458333333333333	0.9708333333333333 1.3333333333333333	1.6666666666666667	0.5 0.4714045207910317	1.0540925533894596	0.5 7.666666666666667	8.222222222222221	3.5 0.9428090415820634	1.6850834320114558	3.5 0.8087500231842565	0.6939092823063634	-2
2	5	1 0.004166666666666667	0.014583333333333334	0.004166666666666667 0.029166666666666667	0.07708333333333334	0.03333333333333333 0.9708333333333333	0.9229166666666667	0.9666666666666667 1.0	1.4	0.5 0.0	0.8	0.5 7.0	7.4	4.0 0.0	0.7999999999999999	4.0 2	0.6107847477422872	-2
0	7	1 0.0	0.035416666666666666	0.004166666666666667 0.0	0.14583333333333334	0.029166666666666667 1.0	0.8541666666666666	0.9708333333333333 0.0	2.4285714285714284	0.5 0.0	1.498298354528788	0.5 0.0	10.0	3.5 0.0	2.9277002188455996	3.5 -2	0.5407081730284644	-2
2	5	0 0.004166666666666667	0.01875	0.0 0.029166666666666667	0.09166666666666666	0.0 0.9708333333333333	0.9083333333333333	1.0 0.6666666666666666	1.8	0.0 0.4714045207910317	0.7483314773547883	0.0 4.666666666666667	8.8	0.0 3.299831645537222	2.2271057451320084	0.0 -2	0.5235284578558983	-2
2	7	0 0.004166666666666667	0.014583333333333334	0.0 0.029166666666666667	0.10208333333333333	0.0 0.9708333333333333	0.8979166666666667	1.0 1.0	1.0	0.0 0.0	0.0	0.0 7.0	7.0	0.0 0.0	0.0	0.0 2	0.6552206119296021	-2
1	6	0 0.0020833333333333333	0.022916666666666665	0.0 0.014583333333333334	0.11666666666666667	0.0 0.9854166666666667	0.8833333333333333	1.0 0.5	1.8333333333333333	0.0 0.5	1.0671873729054748	0.0 3.5	9.333333333333334	0.0 3.5	2.8674417556808756	0.0 -2	0.6606089880117371	-2
1	6	2 0.0020833333333333333	0.022916666666666665	0.0125 0.014583333333333334	0.10625	0.0625 0.9854166666666667	0.89375	0.9375 0.5	1.8333333333333333	1.5 0.5	0.8975274678557508	0.5 3.5	8.5	7.5 3.5	1.8027756377319946	0.5 -2	0.6749286989763672	2
0	5	0 0.0	0.014583333333333334	0.0 0.0	0.08125	0.0 1.0	0.91875	1.0 0.0	1.4	0.0 0.0	0.4898979485566356	0.0 0.0	7.8	0.0 0.0	0.9797958971132712	0.0 -2	0.6792468172023111	-2
3	9	0 0.010416666666666666	0.01875	0.0 0.04791666666666667	0.13333333333333333	0.0 0.9520833333333333	0.8666666666666667	1.0 1.6666666666666667	1.0	0.0 0.9428090415820634	0.0	0.0 7.666666666666667	7.111111111111111	0.0 0.9428090415820634	0.3142696805273545	0.0 0.8512298011746402	0.686607036435355	-2
1	4	0 0.0020833333333333333	0.0125	0.0 0.014583333333333334	0.06875	0.0 0.9854166666666667	0.93125	1.0 0.5	1.5	0.0 0.5	0.5	0.0 3.5	8.25	0.0 3.5	1.6393596310755	0.0 -2	0.6775799966672249	-2
1	8	0 0.0020833333333333333	0.022916666666666665	0.0 0.014583333333333334	0.12916666666666668	0.0 0.9854166666666667	0.8708333333333333	1.0 0.5	1.375	0.0 0.5	0.6959705453537527	0.0 3.5	7.75	0.0 3.5	1.299038105676658	0.0 -2	0.5557773073163006	-2
2	11	0 0.004166666666666667	0.029166666666666667	0.0 0.029166666666666667	0.16875	0.0 0.9708333333333333	0.83125	1.0 1.0	1.2727272727272727	0.0 0.0	0.616575453011388	0.0 7.0	7.363636363636363	0.0 0.0	0.8813963377120598	0.0 2	0.6067762825274765	-2
