# /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/CVs/binaryShannonEntropy.py --model /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/DAPC/4/423K/4DAPC.psf --traj /Ashlin2/ashlin/Phase_Seperation/Analysis/Trajectory/DAPC/4/423K/fixed_4DAPC_100.dcd --lipid_list /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/DAPC/lipidList_NO_CHOL.dat --r /Ashlin2/ashlin/Phase_Seperation/Analysis/CVs4PhaseSeparation/analysis/scripts/../../../CVs4PhaseSeparation/xy_rdf/DAPC/423K/avgRcutoff_NO_CHOL.dat
# radius	18.25
# Avg Binary Entropy	Upper Leaflet BSE         	Lower Leaflet BSE	likeUp	likeLo	unlikeUp        	unlikeLo
239.3475973724293 	 233.6572146914744 	 245.03798005338422 	 101.84759911433767 	 109.86137187111153 	 131.80961557713673 	 135.1766081822727
237.48230814845448 	 239.78681901962742 	 235.1777972772815 	 108.56367309258789 	 105.61257896697647 	 131.22314592703952 	 129.56521831030503
239.42942086529587 	 242.69720638749286 	 236.1616353430989 	 109.37317331092342 	 102.46591792420567 	 133.32403307656944 	 133.69571741889322
242.93006762086617 	 255.57355263997647 	 230.28658260175587 	 114.12942171052798 	 102.5310353430513 	 141.44413092944848 	 127.75554725870455
234.39303651999694 	 232.72064475472718 	 236.0654282852667 	 103.40852071307502 	 104.61725377459382 	 129.31212404165214 	 131.44817451067289
249.7526932223301 	 259.755828181783 	 239.74955826287717 	 119.51299808274975 	 108.19440213356941 	 140.24283009903323 	 131.55515612930776
240.6357863581752 	 244.9455625827583 	 236.32601013359215 	 112.85001387572751 	 106.2923072792163 	 132.0955487070308 	 130.03370285437583
231.95380388322633 	 231.90318592910512 	 232.00442183734754 	 101.22016046941707 	 103.62229510609615 	 130.68302545968805 	 128.3821267312514
210.8858204995217 	 219.25453475889896 	 202.51710624014447 	 97.01725295908578 	 88.64423857096092 	 122.23728179981316 	 113.87286766918353
222.05755663195072 	 218.49442184015575 	 225.6206914237457 	 96.10754312064903 	 100.7608775757186 	 122.38687871950673 	 124.8598138480271
239.5661479606099 	 237.52652720662707 	 241.60576871459273 	 106.43064118548811 	 108.90679494085934 	 131.09588602113894 	 132.6989737737334
237.56345986950123 	 243.66671356487643 	 231.46020617412606 	 109.2141336839692 	 105.06037559241234 	 134.45257988090725 	 126.39983058171372
245.55271443419593 	 245.40088565874578 	 245.7045432096461 	 112.74041859372466 	 111.38545986350009 	 132.66046706502112 	 134.319083346146
250.09673126151253 	 239.80531397646712 	 260.38814854655794 	 106.28044567470714 	 119.7450053727823 	 133.52486830175997 	 140.64314317377563
240.23449769900748 	 247.30626128948148 	 233.16273410853347 	 111.60210418775253 	 103.26292904574521 	 135.70415710172895 	 129.89980506278826
257.05280216916265 	 262.16452219834287 	 251.94108213998237 	 119.46697640094104 	 115.30452774377449 	 142.69754579740186 	 136.63655439620788
232.26451513395352 	 230.92259495305495 	 233.60643531485206 	 102.92927379156507 	 104.11199038543805 	 127.9933211614899 	 129.49444492941402
243.65955752015327 	 245.74013092719446 	 241.57898411311209 	 110.13134345903374 	 109.49454865474122 	 135.6087874681607 	 132.08443545837085
239.3547699703069 	 234.35693798370062 	 244.3526019569132 	 103.75023514912671 	 110.11125280400648 	 130.6067028345739 	 134.2413491529067
242.9490987703428 	 249.9879588246776 	 235.91023871600802 	 115.44931780411613 	 108.29049769929941 	 134.53864102056147 	 127.61974101670862
237.6465248658132 	 235.76892000119776 	 239.52412973042863 	 105.35427560572941 	 107.51170457060444 	 130.41464439546834 	 132.0124251598242
244.60976452438467 	 245.37037715274064 	 243.84915189602873 	 111.56184023198202 	 109.28239473236682 	 133.80853692075863 	 134.56675716366192
226.41452169097494 	 228.67373057603038 	 224.1553128059195 	 102.32127076786591 	 98.31297146442985 	 126.35245980816445 	 125.84234134148963
244.6857769870196 	 247.5304664076675 	 241.8410875663717 	 111.48002150853313 	 108.15741539989598 	 136.05044489913436 	 133.68367216647573
254.82042130474878 	 266.28438520031654 	 243.356457409181 	 121.96998735515727 	 108.68345523138566 	 144.31439784515925 	 134.67300217779533
245.162356452988 	 260.55867922415797 	 229.76603368181804 	 117.9579547826129 	 101.5978534166998 	 142.60072444154508 	 128.16818026511822
244.16971091231545 	 249.4637897127368 	 238.8756321118941 	 112.60955462768882 	 107.22867648920415 	 136.85423508504797 	 131.64695562268997
241.61327903857568 	 257.12712748819115 	 226.09943058896022 	 118.03903370007428 	 100.5783430519614 	 139.08809378811688 	 125.5210875369988
263.53371279582234 	 271.6825814248381 	 255.38484416680657 	 124.71251677577459 	 119.10740412596857 	 146.97006464906352 	 136.277440040838
246.0032186204175 	 242.1093317126536 	 249.89710552818136 	 108.67178628593622 	 114.75766627036535 	 133.4375454267174 	 135.139439257816
255.86509041913916 	 258.44303948298443 	 253.28714135529393 	 118.06695938189455 	 113.3250222452562 	 140.37608010108988 	 139.96211911003772
243.9820011814733 	 234.9403636918135 	 253.02363867113309 	 104.0038039604522 	 112.99405118672833 	 130.9365597313613 	 140.02958748440474
246.81971290201176 	 245.51245557301382 	 248.12697023100972 	 109.61207086080137 	 113.51813207635539 	 135.90038471221246 	 134.60883815465434
228.91297275819932 	 228.40324454820615 	 229.4227009681925 	 100.60837057474015 	 101.79152050457758 	 127.794873973466 	 127.6311804636149
226.25514461251743 	 219.40806488775917 	 233.1022243372757 	 95.9683697822261 	 103.70846373919362 	 123.43969510553308 	 129.39376059808208
222.56111036077573 	 232.57996987525604 	 212.5422508462954 	 105.86449401454868 	 92.67374478615046 	 126.71547586070734 	 119.86850606014492
233.87917233453382 	 239.90611452618802 	 227.85223014287962 	 105.05315689438609 	 101.16489267494606 	 134.85295763180193 	 126.68733746793356
246.25489840848522 	 229.59809120446033 	 262.9117056125101 	 100.95047468314559 	 120.85231691397436 	 128.64761652131475 	 142.0593886985357
223.77476193488377 	 227.52064511986228 	 220.0288787499053 	 100.89302629471125 	 97.81526977075531 	 126.62761882515103 	 122.21360897914997
233.47975932953133 	 244.3114889443155 	 222.64802971474717 	 108.38810557788602 	 99.02775933886791 	 135.92338336642948 	 123.62027037587927
238.1846149394359 	 250.3633559991597 	 226.00587387971208 	 112.7925415285117 	 101.51762324739707 	 137.57081447064797 	 124.48825063231502
